Requested ordering: LARGEST_FIRST
Coloring distance: DISTANCE_ONE
Input graph: C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\dwt_234.mtx

 Coloring | LARGEST_FIRST Ordering | C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\dwt_234.mtx


[Total Colors = 3]
[Vertex Count = 234; Edge Count = 300]
[Ordering Time = 0; Coloring Time = 0]

Number of ordered vertices: 234
Order Position 0 -> Vertex 68
Order Position 1 -> Vertex 41
Order Position 2 -> Vertex 43
Order Position 3 -> Vertex 45
Order Position 4 -> Vertex 85
Order Position 5 -> Vertex 83
Order Position 6 -> Vertex 87
Order Position 7 -> Vertex 110
Order Position 8 -> Vertex 47
Order Position 9 -> Vertex 62
Order Position 10 -> Vertex 66
Order Position 11 -> Vertex 104
Order Position 12 -> Vertex 108
Order Position 13 -> Vertex 146
Order Position 14 -> Vertex 170
Order Position 15 -> Vertex 4
Order Position 16 -> Vertex 8
Order Position 17 -> Vertex 12
Order Position 18 -> Vertex 16
Order Position 19 -> Vertex 64
Order Position 20 -> Vertex 106
Order Position 21 -> Vertex 157
Order Position 22 -> Vertex 159
Order Position 23 -> Vertex 179
Order Position 24 -> Vertex 181
Order Position 25 -> Vertex 6
Order Position 26 -> Vertex 10
Order Position 27 -> Vertex 14
Order Position 28 -> Vertex 18
Order Position 29 -> Vertex 24
Order Position 30 -> Vertex 89
Order Position 31 -> Vertex 112
Order Position 32 -> Vertex 148
Order Position 33 -> Vertex 168
Order Position 34 -> Vertex 211
Order Position 35 -> Vertex 212
Order Position 36 -> Vertex 213
Order Position 37 -> Vertex 214
Order Position 38 -> Vertex 223
Order Position 39 -> Vertex 224
Order Position 40 -> Vertex 225
Order Position 41 -> Vertex 226
Order Position 42 -> Vertex 193
Order Position 43 -> Vertex 194
Order Position 44 -> Vertex 195
Order Position 45 -> Vertex 201
Order Position 46 -> Vertex 202
Order Position 47 -> Vertex 203
Order Position 48 -> Vertex 205
Order Position 49 -> Vertex 206
Order Position 50 -> Vertex 207
Order Position 51 -> Vertex 208
Order Position 52 -> Vertex 210
Order Position 53 -> Vertex 215
Order Position 54 -> Vertex 222
Order Position 55 -> Vertex 227
Order Position 56 -> Vertex 229
Order Position 57 -> Vertex 230
Order Position 58 -> Vertex 231
Order Position 59 -> Vertex 232
Order Position 60 -> Vertex 5
Order Position 61 -> Vertex 7
Order Position 62 -> Vertex 9
Order Position 63 -> Vertex 11
Order Position 64 -> Vertex 13
Order Position 65 -> Vertex 15
Order Position 66 -> Vertex 17
Order Position 67 -> Vertex 19
Order Position 68 -> Vertex 20
Order Position 69 -> Vertex 21
Order Position 70 -> Vertex 22
Order Position 71 -> Vertex 23
Order Position 72 -> Vertex 25
Order Position 73 -> Vertex 26
Order Position 74 -> Vertex 27
Order Position 75 -> Vertex 28
Order Position 76 -> Vertex 29
Order Position 77 -> Vertex 30
Order Position 78 -> Vertex 31
Order Position 79 -> Vertex 32
Order Position 80 -> Vertex 33
Order Position 81 -> Vertex 34
Order Position 82 -> Vertex 35
Order Position 83 -> Vertex 36
Order Position 84 -> Vertex 37
Order Position 85 -> Vertex 38
Order Position 86 -> Vertex 39
Order Position 87 -> Vertex 40
Order Position 88 -> Vertex 42
Order Position 89 -> Vertex 44
Order Position 90 -> Vertex 46
Order Position 91 -> Vertex 48
Order Position 92 -> Vertex 49
Order Position 93 -> Vertex 50
Order Position 94 -> Vertex 51
Order Position 95 -> Vertex 52
Order Position 96 -> Vertex 53
Order Position 97 -> Vertex 54
Order Position 98 -> Vertex 55
Order Position 99 -> Vertex 56
Order Position 100 -> Vertex 57
Order Position 101 -> Vertex 58
Order Position 102 -> Vertex 59
Order Position 103 -> Vertex 60
Order Position 104 -> Vertex 61
Order Position 105 -> Vertex 63
Order Position 106 -> Vertex 65
Order Position 107 -> Vertex 67
Order Position 108 -> Vertex 69
Order Position 109 -> Vertex 70
Order Position 110 -> Vertex 71
Order Position 111 -> Vertex 72
Order Position 112 -> Vertex 73
Order Position 113 -> Vertex 74
Order Position 114 -> Vertex 75
Order Position 115 -> Vertex 76
Order Position 116 -> Vertex 77
Order Position 117 -> Vertex 78
Order Position 118 -> Vertex 79
Order Position 119 -> Vertex 80
Order Position 120 -> Vertex 81
Order Position 121 -> Vertex 82
Order Position 122 -> Vertex 84
Order Position 123 -> Vertex 86
Order Position 124 -> Vertex 88
Order Position 125 -> Vertex 90
Order Position 126 -> Vertex 91
Order Position 127 -> Vertex 92
