Requested ordering: SMALLEST_LAST
Coloring distance: DISTANCE_ONE
Input graph: C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\dwt_419.mtx

 Coloring | SMALLEST_LAST_SERIAL Ordering | C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\dwt_419.mtx


[Total Colors = 6]
[Vertex Count = 419; Edge Count = 1572]
[Ordering Time = 0; Coloring Time = 0]

Number of ordered vertices: 419
Order Position 0 -> Vertex 12
Order Position 1 -> Vertex 13
Order Position 2 -> Vertex 17
Order Position 3 -> Vertex 16
Order Position 4 -> Vertex 223
Order Position 5 -> Vertex 227
Order Position 6 -> Vertex 224
Order Position 7 -> Vertex 228
Order Position 8 -> Vertex 18
Order Position 9 -> Vertex 14
Order Position 10 -> Vertex 225
Order Position 11 -> Vertex 229
Order Position 12 -> Vertex 19
Order Position 13 -> Vertex 15
Order Position 14 -> Vertex 226
Order Position 15 -> Vertex 230
Order Position 16 -> Vertex 5
Order Position 17 -> Vertex 4
Order Position 18 -> Vertex 215
Order Position 19 -> Vertex 216
Order Position 20 -> Vertex 1
Order Position 21 -> Vertex 3
Order Position 22 -> Vertex 214
Order Position 23 -> Vertex 212
Order Position 24 -> Vertex 8
Order Position 25 -> Vertex 9
Order Position 26 -> Vertex 220
Order Position 27 -> Vertex 219
Order Position 28 -> Vertex 20
Order Position 29 -> Vertex 24
Order Position 30 -> Vertex 235
Order Position 31 -> Vertex 231
Order Position 32 -> Vertex 21
Order Position 33 -> Vertex 25
Order Position 34 -> Vertex 236
Order Position 35 -> Vertex 232
Order Position 36 -> Vertex 22
Order Position 37 -> Vertex 26
Order Position 38 -> Vertex 237
Order Position 39 -> Vertex 233
Order Position 40 -> Vertex 23
Order Position 41 -> Vertex 27
Order Position 42 -> Vertex 234
Order Position 43 -> Vertex 238
Order Position 44 -> Vertex 320
Order Position 45 -> Vertex 109
Order Position 46 -> Vertex 108
Order Position 47 -> Vertex 120
Order Position 48 -> Vertex 119
Order Position 49 -> Vertex 331
Order Position 50 -> Vertex 319
Order Position 51 -> Vertex 330
Order Position 52 -> Vertex 337
Order Position 53 -> Vertex 126
Order Position 54 -> Vertex 125
Order Position 55 -> Vertex 140
Order Position 56 -> Vertex 139
Order Position 57 -> Vertex 351
Order Position 58 -> Vertex 152
Order Position 59 -> Vertex 363
Order Position 60 -> Vertex 350
Order Position 61 -> Vertex 418
Order Position 62 -> Vertex 210
Order Position 63 -> Vertex 150
Order Position 64 -> Vertex 361
Order Position 65 -> Vertex 417
Order Position 66 -> Vertex 209
Order Position 67 -> Vertex 138
Order Position 68 -> Vertex 149
Order Position 69 -> Vertex 208
Order Position 70 -> Vertex 349
Order Position 71 -> Vertex 416
Order Position 72 -> Vertex 360
Order Position 73 -> Vertex 239
Order Position 74 -> Vertex 28
Order Position 75 -> Vertex 29
Order Position 76 -> Vertex 34
Order Position 77 -> Vertex 35
Order Position 78 -> Vertex 245
Order Position 79 -> Vertex 240
