Requested ordering: SMALLEST_LAST
Coloring distance: DISTANCE_ONE
Input graph: C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\west0479.mtx

 Coloring | SMALLEST_LAST_SERIAL Ordering | C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\west0479.mtx


[Total Colors = 6]
[Vertex Count = 479; Edge Count = 1889]
[Ordering Time = 0; Coloring Time = 0]

Number of ordered vertices: 479
Order Position 0 -> Vertex 130
Order Position 1 -> Vertex 284
Order Position 2 -> Vertex 328
Order Position 3 -> Vertex 131
Order Position 4 -> Vertex 132
Order Position 5 -> Vertex 306
Order Position 6 -> Vertex 350
Order Position 7 -> Vertex 133
Order Position 8 -> Vertex 372
Order Position 9 -> Vertex 134
Order Position 10 -> Vertex 262
Order Position 11 -> Vertex 135
Order Position 12 -> Vertex 248
Order Position 13 -> Vertex 138
Order Position 14 -> Vertex 308
Order Position 15 -> Vertex 141
Order Position 16 -> Vertex 352
Order Position 17 -> Vertex 136
Order Position 18 -> Vertex 264
Order Position 19 -> Vertex 137
Order Position 20 -> Vertex 374
Order Position 21 -> Vertex 139
Order Position 22 -> Vertex 392
Order Position 23 -> Vertex 140
Order Position 24 -> Vertex 330
Order Position 25 -> Vertex 286
Order Position 26 -> Vertex 95
Order Position 27 -> Vertex 118
Order Position 28 -> Vertex 327
Order Position 29 -> Vertex 121
Order Position 30 -> Vertex 87
Order Position 31 -> Vertex 119
Order Position 32 -> Vertex 371
Order Position 33 -> Vertex 120
Order Position 34 -> Vertex 283
Order Position 35 -> Vertex 349
Order Position 36 -> Vertex 305
Order Position 37 -> Vertex 122
Order Position 38 -> Vertex 261
Order Position 39 -> Vertex 123
Order Position 40 -> Vertex 128
Order Position 41 -> Vertex 307
Order Position 42 -> Vertex 129
Order Position 43 -> Vertex 351
Order Position 44 -> Vertex 124
Order Position 45 -> Vertex 285
Order Position 46 -> Vertex 127
Order Position 47 -> Vertex 329
Order Position 48 -> Vertex 373
Order Position 49 -> Vertex 125
Order Position 50 -> Vertex 391
