Requested ordering: DYNAMIC_LARGEST_FIRST
Coloring distance: DISTANCE_ONE
Input graph: C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\bcsstk06.mtx

 Coloring | DYNAMIC_LARGEST_FIRST Ordering | C:\Users\riyat\Documents\Thesis Implementations\data\raw\matrices\bcsstk06.mtx


[Total Colors = 12]
[Vertex Count = 420; Edge Count = 3720]
[Ordering Time = 0.001; Coloring Time = 0]

Number of ordered vertices: 420
Order Position 0 -> Vertex 368
Order Position 1 -> Vertex 356
Order Position 2 -> Vertex 116
Order Position 3 -> Vertex 104
Order Position 4 -> Vertex 68
Order Position 5 -> Vertex 56
Order Position 6 -> Vertex 102
Order Position 7 -> Vertex 114
Order Position 8 -> Vertex 66
Order Position 9 -> Vertex 366
Order Position 10 -> Vertex 354
Order Position 11 -> Vertex 342
Order Position 12 -> Vertex 51
Order Position 13 -> Vertex 90
Order Position 14 -> Vertex 320
Order Position 15 -> Vertex 91
Order Position 16 -> Vertex 363
Order Position 17 -> Vertex 351
Order Position 18 -> Vertex 344
Order Position 19 -> Vertex 63
Order Position 20 -> Vertex 113
Order Position 21 -> Vertex 53
Order Position 22 -> Vertex 101
Order Position 23 -> Vertex 99
Order Position 24 -> Vertex 54
Order Position 25 -> Vertex 111
Order Position 26 -> Vertex 92
Order Position 27 -> Vertex 343
Order Position 28 -> Vertex 149
Order Position 29 -> Vertex 140
Order Position 30 -> Vertex 188
Order Position 31 -> Vertex 65
Order Position 32 -> Vertex 365
Order Position 33 -> Vertex 200
Order Position 34 -> Vertex 317
Order Position 35 -> Vertex 308
Order Position 36 -> Vertex 353
Order Position 37 -> Vertex 272
Order Position 38 -> Vertex 164
Order Position 39 -> Vertex 284
Order Position 40 -> Vertex 221
Order Position 41 -> Vertex 332
Order Position 42 -> Vertex 80
Order Position 43 -> Vertex 175
Order Position 44 -> Vertex 339
Order Position 45 -> Vertex 185
Order Position 46 -> Vertex 89
Order Position 47 -> Vertex 197
Order Position 48 -> Vertex 392
Order Position 49 -> Vertex 305
Order Position 50 -> Vertex 137
Order Position 51 -> Vertex 233
Order Position 52 -> Vertex 404
Order Position 53 -> Vertex 269
Order Position 54 -> Vertex 259
Order Position 55 -> Vertex 224
Order Position 56 -> Vertex 152
Order Position 57 -> Vertex 260
Order Position 58 -> Vertex 161
Order Position 59 -> Vertex 176
Order Position 60 -> Vertex 248
Order Position 61 -> Vertex 329
Order Position 62 -> Vertex 30
Order Position 63 -> Vertex 281
Order Position 64 -> Vertex 87
Order Position 65 -> Vertex 77
Order Position 66 -> Vertex 341
Order Position 67 -> Vertex 115
Order Position 68 -> Vertex 318
Order Position 69 -> Vertex 390
Order Position 70 -> Vertex 399
Order Position 71 -> Vertex 67
Order Position 72 -> Vertex 103
Order Position 73 -> Vertex 355
Order Position 74 -> Vertex 55
Order Position 75 -> Vertex 367
Order Position 76 -> Vertex 236
Order Position 77 -> Vertex 20
Order Position 78 -> Vertex 18
Order Position 79 -> Vertex 150
Order Position 80 -> Vertex 160
Order Position 81 -> Vertex 315
Order Position 82 -> Vertex 328
Order Position 83 -> Vertex 76
Order Position 84 -> Vertex 387
Order Position 85 -> Vertex 257
Order Position 86 -> Vertex 245
Order Position 87 -> Vertex 29
Order Position 88 -> Vertex 173
Order Position 89 -> Vertex 32
Order Position 90 -> Vertex 389
Order Position 91 -> Vertex 17
Order Position 92 -> Vertex 319
Order Position 93 -> Vertex 223
Order Position 94 -> Vertex 416
Order Position 95 -> Vertex 283
Order Position 96 -> Vertex 199
Order Position 97 -> Vertex 307
Order Position 98 -> Vertex 139
Order Position 99 -> Vertex 187
Order Position 100 -> Vertex 402
Order Position 101 -> Vertex 147
Order Position 102 -> Vertex 401
Order Position 103 -> Vertex 7
Order Position 104 -> Vertex 27
Order Position 105 -> Vertex 162
Order Position 106 -> Vertex 112
Order Position 107 -> Vertex 411
Order Position 108 -> Vertex 15
Order Position 109 -> Vertex 64
Order Position 110 -> Vertex 52
Order Position 111 -> Vertex 78
Order Position 112 -> Vertex 330
Order Position 113 -> Vertex 340
Order Position 114 -> Vertex 364
Order Position 115 -> Vertex 6
Order Position 116 -> Vertex 88
Order Position 117 -> Vertex 244
Order Position 118 -> Vertex 100
Order Position 119 -> Vertex 352
Order Position 120 -> Vertex 414
Order Position 121 -> Vertex 306
Order Position 122 -> Vertex 138
Order Position 123 -> Vertex 75
Order Position 124 -> Vertex 3
Order Position 125 -> Vertex 327
Order Position 126 -> Vertex 222
Order Position 127 -> Vertex 172
Order Position 128 -> Vertex 198
Order Position 129 -> Vertex 159
Order Position 130 -> Vertex 256
Order Position 131 -> Vertex 282
Order Position 132 -> Vertex 151
Order Position 133 -> Vertex 268
Order Position 134 -> Vertex 413
Order Position 135 -> Vertex 31
Order Position 136 -> Vertex 8
Order Position 137 -> Vertex 316
Order Position 138 -> Vertex 391
Order Position 139 -> Vertex 403
Order Position 140 -> Vertex 304
Order Position 141 -> Vertex 182
Order Position 142 -> Vertex 216
Order Position 143 -> Vertex 79
Order Position 144 -> Vertex 148
Order Position 145 -> Vertex 270
Order Position 146 -> Vertex 331
Order Position 147 -> Vertex 163
Order Position 148 -> Vertex 267
Order Position 149 -> Vertex 195
