Requested ordering: INCIDENCE_DEGREE
Coloring distance: DISTANCE_ONE
Input graph: data\raw\matrices\bcsstk15.mtx

 Coloring | INCIDENCE_DEGREE Ordering | data\raw\matrices\bcsstk15.mtx


[Total Colors = 17]
[Vertex Count = 3948; Edge Count = 56934]
[Ordering Time = 0.002; Coloring Time = 0]

Number of ordered vertices: 3948
Order Position 0 -> Vertex 1197
Order Position 1 -> Vertex 1571
Order Position 2 -> Vertex 1569
Order Position 3 -> Vertex 1567
Order Position 4 -> Vertex 1553
Order Position 5 -> Vertex 1551
Order Position 6 -> Vertex 1549
Order Position 7 -> Vertex 1217
Order Position 8 -> Vertex 1215
Order Position 9 -> Vertex 1213
Order Position 10 -> Vertex 1199
Order Position 11 -> Vertex 1195
Order Position 12 -> Vertex 1535
Order Position 13 -> Vertex 1913
Order Position 14 -> Vertex 1911
Order Position 15 -> Vertex 1909
Order Position 16 -> Vertex 1533
Order Position 17 -> Vertex 1531
Order Position 18 -> Vertex 1889
Order Position 19 -> Vertex 1887
Order Position 20 -> Vertex 1885
Order Position 21 -> Vertex 1181
Order Position 22 -> Vertex 1179
Order Position 23 -> Vertex 1177
Order Position 24 -> Vertex 1931
Order Position 25 -> Vertex 1929
Order Position 26 -> Vertex 1927
Order Position 27 -> Vertex 2225
Order Position 28 -> Vertex 2223
Order Position 29 -> Vertex 2221
Order Position 30 -> Vertex 2255
Order Position 31 -> Vertex 2253
Order Position 32 -> Vertex 2251
Order Position 33 -> Vertex 1949
Order Position 34 -> Vertex 1947
Order Position 35 -> Vertex 1945
Order Position 36 -> Vertex 1589
Order Position 37 -> Vertex 1587
Order Position 38 -> Vertex 1585
Order Position 39 -> Vertex 1235
Order Position 40 -> Vertex 1233
Order Position 41 -> Vertex 1231
Order Position 42 -> Vertex 1601
Order Position 43 -> Vertex 1599
Order Position 44 -> Vertex 1597
Order Position 45 -> Vertex 1961
Order Position 46 -> Vertex 2273
Order Position 47 -> Vertex 2271
Order Position 48 -> Vertex 2269
Order Position 49 -> Vertex 1959
Order Position 50 -> Vertex 1957
Order Position 51 -> Vertex 2285
Order Position 52 -> Vertex 2283
Order Position 53 -> Vertex 2281
Order Position 54 -> Vertex 2591
Order Position 55 -> Vertex 2589
Order Position 56 -> Vertex 2587
Order Position 57 -> Vertex 2561
Order Position 58 -> Vertex 2559
Order Position 59 -> Vertex 2557
Order Position 60 -> Vertex 2357
Order Position 61 -> Vertex 2355
Order Position 62 -> Vertex 2353
Order Position 63 -> Vertex 2033
Order Position 64 -> Vertex 2031
Order Position 65 -> Vertex 2029
Order Position 66 -> Vertex 2087
Order Position 67 -> Vertex 2085
Order Position 68 -> Vertex 2083
Order Position 69 -> Vertex 2423
Order Position 70 -> Vertex 2675
Order Position 71 -> Vertex 2673
Order Position 72 -> Vertex 2671
Order Position 73 -> Vertex 2421
Order Position 74 -> Vertex 2419
Order Position 75 -> Vertex 2099
Order Position 76 -> Vertex 2097
Order Position 77 -> Vertex 2095
Order Position 78 -> Vertex 2429
Order Position 79 -> Vertex 2427
Order Position 80 -> Vertex 2425
Order Position 81 -> Vertex 2729
Order Position 82 -> Vertex 2867
Order Position 83 -> Vertex 2865
