graph_id,split,num_nodes,num_directed_edges,num_undirected_edges,num_features,num_targets,path
bcsstk06,test,420,7440,3720,18,420,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\bcsstk06.pt
jac_pat,test,43,242,121,18,43,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\jac_pat.pt
sherman1,test,1000,2750,1375,18,1000,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\sherman1.pt
ash85,train,85,438,219,18,85,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\ash85.pt
bcsstk01,train,48,352,176,18,48,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\bcsstk01.pt
bcsstk03,train,112,528,264,18,112,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\bcsstk03.pt
bcsstk04,train,132,3516,1758,18,132,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\bcsstk04.pt
bcsstk05,train,153,2270,1135,18,153,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\bcsstk05.pt
can_24,train,24,136,68,18,24,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\can_24.pt
dwt_234,train,234,600,300,18,234,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\dwt_234.pt
dwt_361,train,361,2592,1296,18,361,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\dwt_361.pt
hess_pat,train,43,188,94,18,43,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\hess_pat.pt
west0479,train,479,3778,1889,18,479,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\west0479.pt
dwt_419,validation,419,3144,1572,18,419,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\dwt_419.pt
hess_pat_small,validation,10,26,13,18,10,data\processed\initial_graph_coloring_dataset\pyg_data_week16_improved_features_best_available_of_5\hess_pat_small.pt
