graph_id,split,graph_family,base_cycle_size,gap_level,known_chromatic_number,best_colpack5_colors,verified_gap
week17_gap_cycle_square_c20,train,heuristic_gap_controlled,20,1,4,5,1
week17_gap_join_c20_join_2,train,heuristic_gap_controlled,20,2,8,10,2
week17_gap_join_c20_join_3,train,heuristic_gap_controlled,20,3,12,15,3
week17_gap_join_c20_join_4,train,heuristic_gap_controlled,20,4,16,20,4
week17_gap_join_c20_join_5,train,heuristic_gap_controlled,20,5,20,25,5
week17_gap_cycle_square_c26,train,heuristic_gap_controlled,26,1,4,5,1
week17_gap_join_c26_join_2,train,heuristic_gap_controlled,26,2,8,10,2
week17_gap_join_c26_join_3,train,heuristic_gap_controlled,26,3,12,15,3
week17_gap_join_c26_join_4,train,heuristic_gap_controlled,26,4,16,20,4
week17_gap_join_c26_join_5,train,heuristic_gap_controlled,26,5,20,25,5
week17_gap_cycle_square_c29,train,heuristic_gap_controlled,29,1,4,5,1
week17_gap_join_c29_join_2,train,heuristic_gap_controlled,29,2,8,10,2
week17_gap_join_c29_join_3,train,heuristic_gap_controlled,29,3,12,15,3
week17_gap_join_c29_join_4,train,heuristic_gap_controlled,29,4,16,20,4
week17_gap_join_c29_join_5,train,heuristic_gap_controlled,29,5,20,25,5
week17_gap_cycle_square_c35,train,heuristic_gap_controlled,35,1,4,5,1
week17_gap_join_c35_join_2,train,heuristic_gap_controlled,35,2,8,10,2
week17_gap_join_c35_join_3,train,heuristic_gap_controlled,35,3,12,15,3
week17_gap_join_c35_join_4,train,heuristic_gap_controlled,35,4,16,20,4
week17_gap_join_c35_join_5,train,heuristic_gap_controlled,35,5,20,25,5
week17_gap_cycle_square_c38,validation,heuristic_gap_controlled,38,1,4,5,1
week17_gap_join_c38_join_2,validation,heuristic_gap_controlled,38,2,8,10,2
week17_gap_join_c38_join_3,validation,heuristic_gap_controlled,38,3,12,15,3
week17_gap_join_c38_join_4,validation,heuristic_gap_controlled,38,4,16,20,4
week17_gap_join_c38_join_5,validation,heuristic_gap_controlled,38,5,20,25,5
week17_gap_cycle_square_c41,test,heuristic_gap_controlled,41,1,4,5,1
week17_gap_join_c41_join_2,test,heuristic_gap_controlled,41,2,8,10,2
week17_gap_join_c41_join_3,test,heuristic_gap_controlled,41,3,12,15,3
week17_gap_join_c41_join_4,test,heuristic_gap_controlled,41,4,16,20,4
week17_gap_join_c41_join_5,test,heuristic_gap_controlled,41,5,20,25,5
