graph_id,split,split_group_id,split_grouping_mode,family,num_vertices,num_edges,density,matrix_path,selected_teacher_ordering,best_colpack5_colors,worst_colpack5_colors,ordering_gap,best_colpack5_orderings,num_best_orderings,teacher_selection_reason
week18_crown_m28_alternating,test,crown:week18_crown_m28_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,56,756,0.4909090909090909,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m28_alternating.mtx,DYNAMIC_LARGEST_FIRST,2,28,26,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_sbm_three_blocks_90_strong_s0,test,stochastic_block_model:week18_sbm_three_blocks_90_strong,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,90,528,0.1318352059925093,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_90_strong_s0.mtx,DYNAMIC_LARGEST_FIRST,7,9,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_sbm_two_blocks_60_moderate_s1,test,stochastic_block_model:week18_sbm_two_blocks_60_moderate,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,60,271,0.1531073446327683,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_two_blocks_60_moderate_s1.mtx,DYNAMIC_LARGEST_FIRST,6,8,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,4,balanced_among_tied_best_orderings
week18_crown_m26_alternating,test,crown:week18_crown_m26_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,52,650,0.4901960784313725,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m26_alternating.mtx,INCIDENCE_DEGREE,2,26,24,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_sbm_three_blocks_120_weak_s0,test,stochastic_block_model:week18_sbm_three_blocks_120_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,120,853,0.1194677871148459,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_120_weak_s0.mtx,INCIDENCE_DEGREE,7,9,2,INCIDENCE_DEGREE,1,unique_best_ordering
week18_sbm_three_blocks_120_weak_s1,test,stochastic_block_model:week18_sbm_three_blocks_120_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,120,864,0.1210084033613445,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_120_weak_s1.mtx,INCIDENCE_DEGREE,7,10,3,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings
week18_er_n120_p12_s3,test,erdos_renyi:week18_er_n120_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,854,0.1196078431372549,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p12_s3.mtx,LARGEST_FIRST,8,10,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_sbm_two_blocks_60_moderate_s0,test,stochastic_block_model:week18_sbm_two_blocks_60_moderate,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,60,256,0.1446327683615819,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_two_blocks_60_moderate_s0.mtx,LARGEST_FIRST,6,8,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,4,balanced_among_tied_best_orderings
week18_ws_n60_k8_p50_s0,test,watts_strogatz:week18_ws_n60_k8_p50,strict_replicate_groups_with_fixed_crown_sizes,watts_strogatz,60,240,0.135593220338983,data\raw\matrices\week18_heterogeneous_generalization\week18_ws_n60_k8_p50_s0.mtx,LARGEST_FIRST,5,7,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings
week18_crown_m24_alternating,test,crown:week18_crown_m24_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,48,552,0.4893617021276595,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m24_alternating.mtx,SMALLEST_LAST,2,24,22,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_crown_m30_alternating,test,crown:week18_crown_m30_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,60,870,0.4915254237288136,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m30_alternating.mtx,SMALLEST_LAST,2,30,28,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings
week18_sbm_two_blocks_80_strong_s0,test,stochastic_block_model:week18_sbm_two_blocks_80_strong,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,80,616,0.1949367088607595,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_two_blocks_80_strong_s0.mtx,SMALLEST_LAST,8,10,2,SMALLEST_LAST,1,unique_best_ordering
