graph_id,split,split_group_id,split_grouping_mode,family,num_vertices,num_edges,density,matrix_path,selected_teacher_ordering,best_colpack5_colors,worst_colpack5_colors,ordering_gap,best_colpack5_orderings,num_best_orderings,teacher_selection_reason,minimum_training_size,ablation_entry_tier,included_in_train_12,included_in_train_24,included_in_train_36,included_in_train_48
week18_ba_n120_m6_s1,train,barabasi_albert:week18_ba_n120_m6,strict_replicate_groups_with_fixed_crown_sizes,barabasi_albert,120,684,0.0957983193277311,data\raw\matrices\week18_heterogeneous_generalization\week18_ba_n120_m6_s1.mtx,INCIDENCE_DEGREE,6,8,2,NATURAL; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings,12,added_at_12,True,True,True,True
week18_crown_m10_alternating,train,crown:week18_crown_m10_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,20,90,0.4736842105263157,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m10_alternating.mtx,DYNAMIC_LARGEST_FIRST,2,10,8,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,12,added_at_12,True,True,True,True
week18_er_n80_p22_s2,train,erdos_renyi:week18_er_n80_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,644,0.2037974683544303,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p22_s2.mtx,DYNAMIC_LARGEST_FIRST,8,10,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,12,added_at_12,True,True,True,True
week18_er_n80_p22_s1,train,erdos_renyi:week18_er_n80_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,713,0.225632911392405,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p22_s1.mtx,INCIDENCE_DEGREE,8,10,2,INCIDENCE_DEGREE,1,unique_best_ordering,12,added_at_12,True,True,True,True
week18_er_n80_p22_s3,train,erdos_renyi:week18_er_n80_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,711,0.225,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p22_s3.mtx,INCIDENCE_DEGREE,8,11,3,INCIDENCE_DEGREE,1,unique_best_ordering,12,added_at_12,True,True,True,True
week18_er_n120_p09_s1,train,erdos_renyi:week18_er_n120_p09,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,643,0.0900560224089635,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p09_s1.mtx,LARGEST_FIRST,6,8,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings,12,added_at_12,True,True,True,True
week18_er_n120_p16_s0,train,erdos_renyi:week18_er_n120_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1153,0.161484593837535,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p16_s0.mtx,LARGEST_FIRST,9,11,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings,12,added_at_12,True,True,True,True
week18_er_n120_p16_s2,train,erdos_renyi:week18_er_n120_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1111,0.1556022408963585,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p16_s2.mtx,LARGEST_FIRST,9,11,2,LARGEST_FIRST,1,unique_best_ordering,12,added_at_12,True,True,True,True
week18_er_n80_p12_s0,train,erdos_renyi:week18_er_n80_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,396,0.1253164556962025,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p12_s0.mtx,SMALLEST_LAST,6,8,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,3,balanced_among_tied_best_orderings,12,added_at_12,True,True,True,True
week18_er_n80_p12_s2,train,erdos_renyi:week18_er_n80_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,386,0.1221518987341772,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p12_s2.mtx,SMALLEST_LAST,5,7,2,SMALLEST_LAST,1,unique_best_ordering,12,added_at_12,True,True,True,True
week18_sbm_three_blocks_120_strong_s1,train,stochastic_block_model:week18_sbm_three_blocks_120_strong,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,120,908,0.1271708683473389,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_120_strong_s1.mtx,DYNAMIC_LARGEST_FIRST,8,10,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings,12,added_at_12,True,True,True,True
week18_sbm_three_blocks_120_strong_s0,train,stochastic_block_model:week18_sbm_three_blocks_120_strong,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,120,896,0.1254901960784313,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_120_strong_s0.mtx,SMALLEST_LAST,8,10,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,12,added_at_12,True,True,True,True
week18_crown_m12_alternating,train,crown:week18_crown_m12_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,24,132,0.4782608695652174,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m12_alternating.mtx,SMALLEST_LAST,2,12,10,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_er_n120_p22_s1,train,erdos_renyi:week18_er_n120_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1602,0.2243697478991596,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p22_s1.mtx,DYNAMIC_LARGEST_FIRST,12,14,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_er_n120_p22_s3,train,erdos_renyi:week18_er_n120_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1580,0.2212885154061624,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p22_s3.mtx,DYNAMIC_LARGEST_FIRST,11,13,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering,24,added_at_24,False,True,True,True
week18_er_n120_p30_s1,train,erdos_renyi:week18_er_n120_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,2148,0.3008403361344537,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p30_s1.mtx,INCIDENCE_DEGREE,15,17,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,4,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_er_n120_p30_s2,train,erdos_renyi:week18_er_n120_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,2132,0.2985994397759103,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p30_s2.mtx,INCIDENCE_DEGREE,14,17,3,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_er_n100_p16_s3,train,erdos_renyi:week18_er_n100_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,830,0.1676767676767676,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p16_s3.mtx,LARGEST_FIRST,8,11,3,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_er_n120_p22_s0,train,erdos_renyi:week18_er_n120_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1528,0.2140056022408963,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p22_s0.mtx,LARGEST_FIRST,11,13,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST,2,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_er_n120_p22_s2,train,erdos_renyi:week18_er_n120_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,1594,0.2232492997198879,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p22_s2.mtx,LARGEST_FIRST,11,13,2,LARGEST_FIRST,1,unique_best_ordering,24,added_at_24,False,True,True,True
week18_er_n100_p16_s0,train,erdos_renyi:week18_er_n100_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,755,0.1525252525252525,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p16_s0.mtx,SMALLEST_LAST,8,10,2,DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_er_n120_p30_s3,train,erdos_renyi:week18_er_n120_p30,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,120,2148,0.3008403361344537,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n120_p30_s3.mtx,SMALLEST_LAST,14,16,2,DYNAMIC_LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_sbm_three_blocks_90_weak_s0,train,stochastic_block_model:week18_sbm_three_blocks_90_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,90,503,0.1255930087390761,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_90_weak_s0.mtx,DYNAMIC_LARGEST_FIRST,6,8,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering,24,added_at_24,False,True,True,True
week18_sbm_three_blocks_90_weak_s1,train,stochastic_block_model:week18_sbm_three_blocks_90_weak,strict_replicate_groups_with_fixed_crown_sizes,stochastic_block_model,90,487,0.1215980024968789,data\raw\matrices\week18_heterogeneous_generalization\week18_sbm_three_blocks_90_weak_s1.mtx,INCIDENCE_DEGREE,6,8,2,INCIDENCE_DEGREE; SMALLEST_LAST,2,balanced_among_tied_best_orderings,24,added_at_24,False,True,True,True
week18_crown_m14_alternating,train,crown:week18_crown_m14_alternating,strict_replicate_groups_with_fixed_crown_sizes,crown,28,182,0.4814814814814814,data\raw\matrices\week18_heterogeneous_generalization\week18_crown_m14_alternating.mtx,INCIDENCE_DEGREE,2,14,12,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,36,added_at_36,False,False,True,True
week18_er_n100_p12_s3,train,erdos_renyi:week18_er_n100_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,614,0.124040404040404,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p12_s3.mtx,DYNAMIC_LARGEST_FIRST,7,9,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering,36,added_at_36,False,False,True,True
week18_er_n100_p22_s2,train,erdos_renyi:week18_er_n100_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1110,0.2242424242424242,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p22_s2.mtx,DYNAMIC_LARGEST_FIRST,10,12,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering,36,added_at_36,False,False,True,True
week18_er_n100_p22_s3,train,erdos_renyi:week18_er_n100_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1141,0.2305050505050505,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p22_s3.mtx,DYNAMIC_LARGEST_FIRST,10,12,2,DYNAMIC_LARGEST_FIRST,1,unique_best_ordering,36,added_at_36,False,False,True,True
week18_er_n100_p22_s0,train,erdos_renyi:week18_er_n100_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1119,0.226060606060606,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p22_s0.mtx,INCIDENCE_DEGREE,10,12,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,2,balanced_among_tied_best_orderings,36,added_at_36,False,False,True,True
week18_er_n100_p22_s1,train,erdos_renyi:week18_er_n100_p22,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,1081,0.2183838383838383,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p22_s1.mtx,INCIDENCE_DEGREE,10,12,2,DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE; SMALLEST_LAST,3,balanced_among_tied_best_orderings,36,added_at_36,False,False,True,True
week18_er_n100_p12_s0,train,erdos_renyi:week18_er_n100_p12,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,100,625,0.1262626262626262,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n100_p12_s0.mtx,LARGEST_FIRST,7,9,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings,36,added_at_36,False,False,True,True
week18_er_n60_p16_s3,train,erdos_renyi:week18_er_n60_p16,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,60,271,0.1531073446327683,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n60_p16_s3.mtx,LARGEST_FIRST,6,8,2,LARGEST_FIRST; DYNAMIC_LARGEST_FIRST; INCIDENCE_DEGREE,3,balanced_among_tied_best_orderings,36,added_at_36,False,False,True,True
week18_er_n80_p09_s3,train,erdos_renyi:week18_er_n80_p09,strict_replicate_groups_with_fixed_crown_sizes,erdos_renyi,80,299,0.0946202531645569,data\raw\matrices\week18_heterogeneous_generalization\week18_er_n80_p09_s3.mtx,LARGEST_FIRST,5,7,2,LARGEST_FIRST; SMALLEST_LAST,2,balanced_among_tied_best_orderings,36,added_at_36,False,False,True,True
