graph_id,seed,method_family,method_name,target_ordering,ordering_name,num_vertices,num_edges,num_colors,valid,runtime_seconds,checkpoint_path
bcsstk06,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,420,3720,13,True,0.0048253999557346106,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_0.pt
bcsstk06,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,420,3720,13,True,0.004773000022396445,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_1.pt
bcsstk06,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,420,3720,13,True,0.0037088999524712563,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_2.pt
bcsstk06,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,420,3720,14,True,0.00396790006197989,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_3.pt
bcsstk06,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,420,3720,13,True,0.0040617999620735645,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_4.pt
jac_pat,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,43,121,11,True,0.0010097000049427152,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_0.pt
jac_pat,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,43,121,11,True,0.0010458999313414097,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_1.pt
jac_pat,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,43,121,11,True,0.0012438000412657857,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_2.pt
jac_pat,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,43,121,11,True,0.0010844999924302101,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_3.pt
jac_pat,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,43,121,11,True,0.0009504000190645456,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_4.pt
sherman1,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,1000,1375,5,True,0.004044899949803948,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_0.pt
sherman1,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0023134000366553664,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_1.pt
sherman1,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,1000,1375,4,True,0.002724300022237003,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_2.pt
sherman1,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0035215000389143825,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_3.pt
sherman1,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_3,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0024281999794766307,results\models\gnn_node_scorer\week15_best_available_runs\best_gnn_node_scorer_seed_4.pt
