graph_id,seed,method_family,method_name,target_ordering,ordering_name,num_vertices,num_edges,num_colors,valid,runtime_seconds,checkpoint_path
bcsstk06,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,420,3720,13,True,0.018451199983246624,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_0.pt
bcsstk06,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,420,3720,13,True,0.00419000000692904,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_1.pt
bcsstk06,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,420,3720,13,True,0.004453000030480325,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_2.pt
bcsstk06,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,420,3720,14,True,0.003998700063675642,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_3.pt
bcsstk06,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,420,3720,13,True,0.003462200053036213,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_4.pt
jac_pat,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,43,121,11,True,0.0015969000523909926,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_0.pt
jac_pat,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,43,121,11,True,0.0009931999957188964,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_1.pt
jac_pat,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,43,121,11,True,0.0012348999734967947,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_2.pt
jac_pat,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,43,121,11,True,0.0010874000145122409,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_3.pt
jac_pat,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,43,121,11,True,0.001043299911543727,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_4.pt
sherman1,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,1000,1375,4,True,0.0024305999977514148,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_0.pt
sherman1,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,1000,1375,5,True,0.003409299999475479,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_1.pt
sherman1,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,1000,1375,4,True,0.003016800037585199,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_2.pt
sherman1,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,1000,1375,4,True,0.0029070000164210796,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_3.pt
sherman1,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5,learned_ordering_from_predicted_scores,1000,1375,5,True,0.00337080005556345,results\models\gnn_node_scorer\week15_best_available_of_5_runs\best_gnn_node_scorer_seed_4.pt
