graph_id,seed,method_family,method_name,target_ordering,ordering_name,num_vertices,num_edges,num_colors,valid,runtime_seconds,checkpoint_path
bcsstk06,0,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,420,3720,13,True,0.026926400023512542,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_0.pt
bcsstk06,1,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,420,3720,13,True,0.0038009999552741647,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_1.pt
bcsstk06,2,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,420,3720,13,True,0.0041479000356048346,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_2.pt
bcsstk06,3,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,420,3720,13,True,0.004093699972145259,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_3.pt
bcsstk06,4,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,420,3720,13,True,0.003961300011724234,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_4.pt
jac_pat,0,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,43,121,11,True,0.001012600027024746,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_0.pt
jac_pat,1,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,43,121,11,True,0.0023539999965578318,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_1.pt
jac_pat,2,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,43,121,11,True,0.0011112999636679888,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_2.pt
jac_pat,3,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,43,121,11,True,0.0017517999513074756,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_3.pt
jac_pat,4,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,43,121,11,True,0.0020456999773159623,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_4.pt
sherman1,0,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,1000,1375,4,True,0.0034034999553114176,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_0.pt
sherman1,1,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0033478999976068735,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_1.pt
sherman1,2,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,1000,1375,5,True,0.003077800036408007,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_2.pt
sherman1,3,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0028449000092223287,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_3.pt
sherman1,4,gnn,GNNNodeScorer,SMALLEST_LAST,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0035287000937387347,results\models\gnn_node_scorer\week15_expanded_runs\best_gnn_node_scorer_seed_4.pt
