strategy,graph_id,min,max,mean,std,source_file
BEST_AVAILABLE_OF_3_GNN,bcsstk06,13,14,13.2,0.44721359549995787,week15_best_available_learned_coloring_evaluation.csv
BEST_AVAILABLE_OF_5_GNN,bcsstk06,13,14,13.2,0.44721359549995787,week15_best_available_of_5_learned_coloring_evaluation.csv
BEST_AVAILABLE_OF_5_RANKING_GNN,bcsstk06,13,14,13.4,0.547722557505166,week16_best_available_of_5_ranking_learned_coloring_evaluation.csv
EDGE_SEPARATION_GNN,bcsstk06,13,14,13.2,0.44721359549995804,week16_normalized_features_edge_separation_learned_coloring_evaluation.csv
LARGER_EXTENSION_10_SEEDS_GNN,bcsstk06,13,13,13.0,0.0,week16_larger_extension_10_seeds_learned_coloring_evaluation.csv
LARGER_EXTENSION_GNN,bcsstk06,13,13,13.0,0.0,week16_larger_extension_learned_coloring_evaluation.csv
NORMALIZED_FEATURES_GNN,bcsstk06,13,14,13.6,0.547722557505166,week16_normalized_features_best_available_of_5_learned_coloring_evaluation.csv
RAW_IMPROVED_FEATURES_GNN,bcsstk06,13,15,13.6,0.8944271909999161,week16_improved_features_best_available_of_5_learned_coloring_evaluation.csv
SMALLEST_LAST_GNN,bcsstk06,13,13,13.0,0.0,week15_expanded_learned_coloring_evaluation.csv
LARGER_EXTENSION_10_SEEDS_GNN,bcsstk15,17,20,17.6,0.9660917830792964,week16_larger_extension_10_seeds_learned_coloring_evaluation.csv
LARGER_EXTENSION_GNN,bcsstk15,17,18,17.2,0.44721359549995815,week16_larger_extension_learned_coloring_evaluation.csv
BEST_AVAILABLE_OF_3_GNN,jac_pat,11,11,11.0,0.0,week15_best_available_learned_coloring_evaluation.csv
BEST_AVAILABLE_OF_5_GNN,jac_pat,11,11,11.0,0.0,week15_best_available_of_5_learned_coloring_evaluation.csv
BEST_AVAILABLE_OF_5_RANKING_GNN,jac_pat,11,11,11.0,0.0,week16_best_available_of_5_ranking_learned_coloring_evaluation.csv
EDGE_SEPARATION_GNN,jac_pat,11,11,11.0,0.0,week16_normalized_features_edge_separation_learned_coloring_evaluation.csv
LARGER_EXTENSION_10_SEEDS_GNN,jac_pat,11,11,11.0,0.0,week16_larger_extension_10_seeds_learned_coloring_evaluation.csv
LARGER_EXTENSION_GNN,jac_pat,11,11,11.0,0.0,week16_larger_extension_learned_coloring_evaluation.csv
NORMALIZED_FEATURES_GNN,jac_pat,11,11,11.0,0.0,week16_normalized_features_best_available_of_5_learned_coloring_evaluation.csv
RAW_IMPROVED_FEATURES_GNN,jac_pat,11,11,11.0,0.0,week16_improved_features_best_available_of_5_learned_coloring_evaluation.csv
SMALLEST_LAST_GNN,jac_pat,11,11,11.0,0.0,week15_expanded_learned_coloring_evaluation.csv
BEST_AVAILABLE_OF_3_GNN,sherman1,4,5,4.8,0.44721359549995804,week15_best_available_learned_coloring_evaluation.csv
BEST_AVAILABLE_OF_5_GNN,sherman1,4,5,4.4,0.547722557505166,week15_best_available_of_5_learned_coloring_evaluation.csv
BEST_AVAILABLE_OF_5_RANKING_GNN,sherman1,4,5,4.6,0.5477225575051661,week16_best_available_of_5_ranking_learned_coloring_evaluation.csv
EDGE_SEPARATION_GNN,sherman1,5,5,5.0,0.0,week16_normalized_features_edge_separation_learned_coloring_evaluation.csv
LARGER_EXTENSION_10_SEEDS_GNN,sherman1,5,5,5.0,0.0,week16_larger_extension_10_seeds_learned_coloring_evaluation.csv
LARGER_EXTENSION_GNN,sherman1,5,5,5.0,0.0,week16_larger_extension_learned_coloring_evaluation.csv
NORMALIZED_FEATURES_GNN,sherman1,5,5,5.0,0.0,week16_normalized_features_best_available_of_5_learned_coloring_evaluation.csv
RAW_IMPROVED_FEATURES_GNN,sherman1,4,5,4.8,0.4472135954999579,week16_improved_features_best_available_of_5_learned_coloring_evaluation.csv
SMALLEST_LAST_GNN,sherman1,4,5,4.8,0.44721359549995787,week15_expanded_learned_coloring_evaluation.csv
