graph_id,seed,method_family,method_name,target_ordering,ordering_name,num_vertices,num_edges,num_colors,valid,runtime_seconds,checkpoint_path
bcsstk06,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,420,3720,13,True,0.02047890005633235,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_0.pt
bcsstk06,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,420,3720,13,True,0.0035321000032126904,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_1.pt
bcsstk06,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,420,3720,15,True,0.003471700008958578,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_2.pt
bcsstk06,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,420,3720,14,True,0.003999600070528686,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_3.pt
bcsstk06,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,420,3720,13,True,0.004186499980278313,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_4.pt
jac_pat,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,43,121,11,True,0.0010144999250769615,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_0.pt
jac_pat,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,43,121,11,True,0.0011081999400630593,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_1.pt
jac_pat,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,43,121,11,True,0.0008323999354615808,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_2.pt
jac_pat,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,43,121,11,True,0.0008680999744683504,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_3.pt
jac_pat,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,43,121,11,True,0.0009241000516340137,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_4.pt
sherman1,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,1000,1375,5,True,0.003217100049369037,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_0.pt
sherman1,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0038259000284597278,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_1.pt
sherman1,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,1000,1375,5,True,0.002476199995726347,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_2.pt
sherman1,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,1000,1375,4,True,0.0025426000356674194,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_3.pt
sherman1,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_IMPROVED_FEATURES,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0033877999521791935,results\models\gnn_node_scorer\week16_improved_features_best_available_of_5_runs\best_gnn_node_scorer_seed_4.pt
