seed,model_name,target_ordering,num_train_graphs,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,num_epochs,best_epoch,best_validation_loss,final_train_loss_best_model,final_validation_loss_best_model,final_test_loss_best_model,checkpoint_path
0,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,45,0.051174674183130264,0.050136390064532556,0.051174674183130264,0.054383338894695044,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_0.pt
1,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,140,0.05018613487482071,0.04894935223273933,0.05018613487482071,0.05149681493639946,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_1.pt
2,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,199,0.05079479329288006,0.05118583709311982,0.05079479329288006,0.054424943402409554,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_2.pt
3,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,107,0.049297433346509933,0.049984528527905546,0.049297433346509933,0.05721521098166704,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_3.pt
4,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,138,0.05184026248753071,0.04729961177023748,0.05184026248753071,0.04749618214555085,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_4.pt
5,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,142,0.050078921020030975,0.04808834342596432,0.050078921020030975,0.05515893083065748,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_5.pt
6,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,200,0.0448295995593071,0.045514313193658985,0.0448295995593071,0.05339436046779156,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_6.pt
7,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,49,0.05022416077554226,0.0483373855240643,0.05022416077554226,0.04950640443712473,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_7.pt
8,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,148,0.044919717125594616,0.04713349793261538,0.044919717125594616,0.057305251713842154,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_8.pt
9,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension_10_Seeds,12,2,4,15,32,200,82,0.04678593948483467,0.0490598741453141,0.04678593948483467,0.05088087753392756,results\models\gnn_node_scorer\week16_larger_extension_10_seeds_runs\best_gnn_node_scorer_seed_9.pt
