graph_id,seed,method_family,method_name,target_ordering,ordering_name,num_vertices,num_edges,num_colors,valid,runtime_seconds,checkpoint_path
bcsstk06,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,420,3720,13,True,0.005184800014831126,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_0.pt
bcsstk06,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,420,3720,13,True,0.0037565999664366245,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_1.pt
bcsstk06,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,420,3720,13,True,0.0033854000503197312,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_2.pt
bcsstk06,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,420,3720,13,True,0.003325900062918663,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_3.pt
bcsstk06,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,420,3720,13,True,0.003183000022545457,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_4.pt
bcsstk15,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,3948,56934,17,True,0.03740210004616529,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_0.pt
bcsstk15,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,3948,56934,17,True,0.038810100057162344,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_1.pt
bcsstk15,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,3948,56934,17,True,0.03529129992239177,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_2.pt
bcsstk15,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,3948,56934,17,True,0.03448739997111261,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_3.pt
bcsstk15,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,3948,56934,18,True,0.0355633000144735,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_4.pt
jac_pat,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,43,121,11,True,0.001293300068937242,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_0.pt
jac_pat,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,43,121,11,True,0.0029608000768348575,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_1.pt
jac_pat,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,43,121,11,True,0.005724700051359832,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_2.pt
jac_pat,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,43,121,11,True,0.002011100063100457,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_3.pt
jac_pat,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,43,121,11,True,0.0024994000559672713,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_4.pt
sherman1,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,1000,1375,5,True,0.007753900019451976,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_0.pt
sherman1,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,1000,1375,5,True,0.007291799993254244,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_1.pt
sherman1,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,1000,1375,5,True,0.01475690002553165,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_2.pt
sherman1,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,1000,1375,5,True,0.008626100025139749,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_3.pt
sherman1,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_Larger_Extension,learned_ordering_from_predicted_scores,1000,1375,5,True,0.00841400003992021,results\models\gnn_node_scorer\week16_larger_extension_runs\best_gnn_node_scorer_seed_4.pt
