graph_id,seed,method_family,method_name,target_ordering,ordering_name,num_vertices,num_edges,num_colors,valid,runtime_seconds,checkpoint_path
bcsstk06,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,420,3720,13,True,0.0057607999769970775,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_0.pt
bcsstk06,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,420,3720,14,True,0.0030403999844565988,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_1.pt
bcsstk06,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,420,3720,13,True,0.003902799915522337,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_2.pt
bcsstk06,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,420,3720,13,True,0.0046567999524995685,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_3.pt
bcsstk06,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,420,3720,13,True,0.0031889999518170953,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_4.pt
jac_pat,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,43,121,11,True,0.0012326000723987818,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_0.pt
jac_pat,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,43,121,11,True,0.0009401999413967133,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_1.pt
jac_pat,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,43,121,11,True,0.0009986000368371606,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_2.pt
jac_pat,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,43,121,11,True,0.001193000003695488,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_3.pt
jac_pat,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,43,121,11,True,0.0010984999826177955,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_4.pt
sherman1,0,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,1000,1375,5,True,0.003678599954582751,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_0.pt
sherman1,1,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0022533999290317297,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_1.pt
sherman1,2,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0026344999205321074,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_2.pt
sherman1,3,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,1000,1375,5,True,0.0031204000115394592,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_3.pt
sherman1,4,gnn,GNNNodeScorer,BEST_AVAILABLE_OF_5_NORMALIZED_FEATURES_EDGE_SEPARATION,learned_ordering_from_predicted_scores,1000,1375,5,True,0.002161000040359795,results\models\gnn_node_scorer\week16_normalized_features_edge_separation_runs\best_gnn_node_scorer_seed_4.pt
