graph_id,split,group,seed,method_family,method_name,target_ordering,feature_set,checkpoint_selection,ordering_name,num_vertices,num_edges,target_colors,num_colors,gap_from_target,valid,runtime_seconds,selected_teacher_ordering,checkpoint_path,candidate_pool,candidate_id,best_colors,gap_to_oracle,matches_oracle,best_of_k_method
bcsstk06,test,original_sparse_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,420,3720,12,13,1,True,0.0051911999471485,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_1,12,1,False,GNN_BEST_OF_5_COLOR_SELECTED_SEEDS
dwt_419,validation,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0041789000388234,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_0,6,0,True,GNN_BEST_OF_5_COLOR_SELECTED_SEEDS
sherman1,test,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,4,2,True,0.0026959001552313,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_0,2,2,False,GNN_BEST_OF_5_COLOR_SELECTED_SEEDS
week17_bcsstk08,test,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,9,1,True,0.0069939999375492,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_1,8,1,False,GNN_BEST_OF_5_COLOR_SELECTED_SEEDS
week17_gr_30_30,test,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,900,3422,4,6,2,True,0.0036673999857157,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_1,4,2,False,GNN_BEST_OF_5_COLOR_SELECTED_SEEDS
week17_lshp_265,validation,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0019165000412613,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_0,4,1,False,GNN_BEST_OF_5_COLOR_SELECTED_SEEDS
bcsstk06,test,original_sparse_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,420,3720,12,13,1,True,0.0033813000191003,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_2.pt,GNN_LOSS_SELECTED,GNN_LOSS_SELECTED_seed_2,12,1,False,GNN_BEST_OF_5_LOSS_SELECTED_SEEDS
dwt_419,validation,original_sparse_matrix,2,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0024967000354081,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_2.pt,GNN_LOSS_SELECTED,GNN_LOSS_SELECTED_seed_2,6,0,True,GNN_BEST_OF_5_LOSS_SELECTED_SEEDS
sherman1,test,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0129170999862253,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_LOSS_SELECTED,GNN_LOSS_SELECTED_seed_0,2,3,False,GNN_BEST_OF_5_LOSS_SELECTED_SEEDS
week17_bcsstk08,test,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,8,0,True,0.0063583999872207,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_LOSS_SELECTED,GNN_LOSS_SELECTED_seed_0,8,0,True,GNN_BEST_OF_5_LOSS_SELECTED_SEEDS
week17_gr_30_30,test,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.0048005999997258,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_LOSS_SELECTED,GNN_LOSS_SELECTED_seed_0,4,3,False,GNN_BEST_OF_5_LOSS_SELECTED_SEEDS
week17_lshp_265,validation,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0028143001254647,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_LOSS_SELECTED,GNN_LOSS_SELECTED_seed_0,4,1,False,GNN_BEST_OF_5_LOSS_SELECTED_SEEDS
bcsstk06,test,original_sparse_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,420,3720,12,13,1,True,0.0051911999471485,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_1,12,1,False,GNN_BEST_OF_10_COLOR_AND_LOSS_SELECTED
dwt_419,validation,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0041789000388234,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_0,6,0,True,GNN_BEST_OF_10_COLOR_AND_LOSS_SELECTED
sherman1,test,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,4,2,True,0.0026959001552313,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_0,2,2,False,GNN_BEST_OF_10_COLOR_AND_LOSS_SELECTED
week17_bcsstk08,test,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,8,0,True,0.0063583999872207,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_loss_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_LOSS_SELECTED,GNN_LOSS_SELECTED_seed_0,8,0,True,GNN_BEST_OF_10_COLOR_AND_LOSS_SELECTED
week17_gr_30_30,test,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,900,3422,4,6,2,True,0.0036673999857157,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_1,4,2,False,GNN_BEST_OF_10_COLOR_AND_LOSS_SELECTED
week17_lshp_265,validation,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0019165000412613,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,GNN_COLOR_SELECTED,GNN_COLOR_SELECTED_seed_0,4,1,False,GNN_BEST_OF_10_COLOR_AND_LOSS_SELECTED
