method,candidate_pool,num_graphs,total_colors,gap_to_oracle,graphs_matching_oracle,oracle_total_colors
BEST_OF_5_ORACLE,COLPACK_ORACLE,6,36.0,0.0,6.0,36
INCIDENCE_DEGREE,FIXED_COLPACK_ORDERING,6,38.0,2.0,4.0,36
SMALLEST_LAST,FIXED_COLPACK_ORDERING,6,38.0,2.0,4.0,36
GNN_BEST_OF_10_COLOR_AND_LOSS_SELECTED,"GNN_COLOR_SELECTED, GNN_LOSS_SELECTED",6,42.0,6.0,2.0,36
GNN_BEST_OF_5_COLOR_SELECTED_SEEDS,GNN_COLOR_SELECTED,6,43.0,7.0,1.0,36
LARGEST_FIRST,FIXED_COLPACK_ORDERING,6,43.0,7.0,1.0,36
DYNAMIC_LARGEST_FIRST,FIXED_COLPACK_ORDERING,6,44.0,8.0,1.0,36
GNN_BEST_OF_5_LOSS_SELECTED_SEEDS,GNN_LOSS_SELECTED,6,44.0,8.0,2.0,36
NATURAL,FIXED_COLPACK_ORDERING,6,47.0,11.0,1.0,36
GNN_LOSS_SELECTED_MEAN_SINGLE_SEED,GNN_LOSS_SELECTED,6,47.8,11.8,0.6,36
GNN_COLOR_SELECTED_MEAN_SINGLE_SEED,GNN_COLOR_SELECTED,6,48.4,12.4,1.0,36
