source_csv,graph_id,num_orderings_tested,best_colors,worst_colors,spread_best_to_worst,winner_count,winning_orderings,worst_orderings,has_unique_winner,has_nontrivial_spread,DYNAMIC_LARGEST_FIRST,INCIDENCE_DEGREE,LARGEST_FIRST,NATURAL,SMALLEST_LAST
colpack_initial_benchmark.csv,ash85,2,4,5,1,1,SMALLEST_LAST,LARGEST_FIRST,True,False,,,5.0,,4.0
colpack_initial_benchmark.csv,can_24,2,4,5,1,1,SMALLEST_LAST,LARGEST_FIRST,True,False,,,5.0,,4.0
colpack_initial_benchmark.csv,hess_pat,2,6,6,0,2,"LARGEST_FIRST, SMALLEST_LAST","LARGEST_FIRST, SMALLEST_LAST",False,False,,,6.0,,6.0
colpack_initial_benchmark.csv,hess_pat_small,2,3,3,0,2,"LARGEST_FIRST, SMALLEST_LAST","LARGEST_FIRST, SMALLEST_LAST",False,False,,,3.0,,3.0
colpack_initial_benchmark.csv,jac_pat,2,11,11,0,2,"LARGEST_FIRST, SMALLEST_LAST","LARGEST_FIRST, SMALLEST_LAST",False,False,,,11.0,,11.0
colpack_week14_expanded_benchmark.csv,ash85,3,4,5,1,1,SMALLEST_LAST,"LARGEST_FIRST, NATURAL",True,False,,,5.0,5.0,4.0
colpack_week14_expanded_benchmark.csv,bcsstk01,3,6,6,0,3,"LARGEST_FIRST, NATURAL, SMALLEST_LAST","LARGEST_FIRST, NATURAL, SMALLEST_LAST",False,False,,,6.0,6.0,6.0
colpack_week14_expanded_benchmark.csv,bcsstk03,3,4,4,0,3,"LARGEST_FIRST, NATURAL, SMALLEST_LAST","LARGEST_FIRST, NATURAL, SMALLEST_LAST",False,False,,,4.0,4.0,4.0
colpack_week14_expanded_benchmark.csv,bcsstk04,3,13,16,3,1,LARGEST_FIRST,NATURAL,True,True,,,13.0,16.0,15.0
colpack_week14_expanded_benchmark.csv,bcsstk05,3,9,11,2,1,SMALLEST_LAST,LARGEST_FIRST,True,True,,,11.0,10.0,9.0
colpack_week14_expanded_benchmark.csv,bcsstk06,3,13,15,2,2,"LARGEST_FIRST, SMALLEST_LAST",NATURAL,False,True,,,13.0,15.0,13.0
colpack_week14_expanded_benchmark.csv,can_24,3,4,6,2,1,SMALLEST_LAST,NATURAL,True,True,,,5.0,6.0,4.0
colpack_week14_expanded_benchmark.csv,dwt_234,3,3,3,0,3,"LARGEST_FIRST, NATURAL, SMALLEST_LAST","LARGEST_FIRST, NATURAL, SMALLEST_LAST",False,False,,,3.0,3.0,3.0
colpack_week14_expanded_benchmark.csv,dwt_361,3,5,5,0,3,"LARGEST_FIRST, NATURAL, SMALLEST_LAST","LARGEST_FIRST, NATURAL, SMALLEST_LAST",False,False,,,5.0,5.0,5.0
colpack_week14_expanded_benchmark.csv,dwt_419,3,6,8,2,1,SMALLEST_LAST,NATURAL,True,True,,,7.0,8.0,6.0
colpack_week14_expanded_benchmark.csv,hess_pat,3,6,7,1,2,"LARGEST_FIRST, SMALLEST_LAST",NATURAL,False,False,,,6.0,7.0,6.0
colpack_week14_expanded_benchmark.csv,hess_pat_small,3,3,4,1,2,"LARGEST_FIRST, SMALLEST_LAST",NATURAL,False,False,,,3.0,4.0,3.0
