seed,num_graphs,total_colors,oracle_total_colors,graphs_matching_best_of_5,total_gap_to_best_of_5,mean_gap_per_graph,gnn_checkpoint_label
0,6,49,36,1,13,2.1666666666666665,GNN_COLOR_SELECTED
1,6,44,36,1,8,1.3333333333333333,GNN_COLOR_SELECTED
2,6,46,36,1,10,1.6666666666666667,GNN_COLOR_SELECTED
3,6,46,36,1,10,1.6666666666666667,GNN_COLOR_SELECTED
4,6,57,36,1,21,3.5,GNN_COLOR_SELECTED
0,6,47,36,1,11,1.8333333333333333,GNN_LOSS_SELECTED
1,6,48,36,0,12,2.0,GNN_LOSS_SELECTED
2,6,46,36,1,10,1.6666666666666667,GNN_LOSS_SELECTED
3,6,46,36,1,10,1.6666666666666667,GNN_LOSS_SELECTED
4,6,52,36,0,16,2.6666666666666665,GNN_LOSS_SELECTED
