seed,split,graph_id,base_cycle_size,gap_level,gnn_colors,target_colors,colpack5_colors,gap_from_target,gap_from_colpack5,colors_saved_vs_colpack5,reached_target,improved_over_colpack5,evaluation_set,valid_coloring,colpack_error_above_target
0,test,week17_gap_cycle_square_c41,41,1,4,4,5,0,-1,1,True,True,test_c41,,1
0,test,week17_gap_join_c41_join_2,41,2,9,8,10,1,-1,1,False,True,test_c41,,2
0,test,week17_gap_join_c41_join_3,41,3,14,12,15,2,-1,1,False,True,test_c41,,3
0,test,week17_gap_join_c41_join_4,41,4,17,16,20,1,-3,3,False,True,test_c41,,4
0,test,week17_gap_join_c41_join_5,41,5,20,20,25,0,-5,5,True,True,test_c41,,5
1,test,week17_gap_cycle_square_c41,41,1,5,4,5,1,0,0,False,False,test_c41,,1
1,test,week17_gap_join_c41_join_2,41,2,9,8,10,1,-1,1,False,True,test_c41,,2
1,test,week17_gap_join_c41_join_3,41,3,13,12,15,1,-2,2,False,True,test_c41,,3
1,test,week17_gap_join_c41_join_4,41,4,17,16,20,1,-3,3,False,True,test_c41,,4
1,test,week17_gap_join_c41_join_5,41,5,21,20,25,1,-4,4,False,True,test_c41,,5
2,test,week17_gap_cycle_square_c41,41,1,5,4,5,1,0,0,False,False,test_c41,,1
2,test,week17_gap_join_c41_join_2,41,2,10,8,10,2,0,0,False,False,test_c41,,2
2,test,week17_gap_join_c41_join_3,41,3,14,12,15,2,-1,1,False,True,test_c41,,3
2,test,week17_gap_join_c41_join_4,41,4,16,16,20,0,-4,4,True,True,test_c41,,4
2,test,week17_gap_join_c41_join_5,41,5,21,20,25,1,-4,4,False,True,test_c41,,5
3,test,week17_gap_cycle_square_c41,41,1,4,4,5,0,-1,1,True,True,test_c41,,1
3,test,week17_gap_join_c41_join_2,41,2,9,8,10,1,-1,1,False,True,test_c41,,2
3,test,week17_gap_join_c41_join_3,41,3,13,12,15,1,-2,2,False,True,test_c41,,3
3,test,week17_gap_join_c41_join_4,41,4,18,16,20,2,-2,2,False,True,test_c41,,4
3,test,week17_gap_join_c41_join_5,41,5,22,20,25,2,-3,3,False,True,test_c41,,5
4,test,week17_gap_cycle_square_c41,41,1,5,4,5,1,0,0,False,False,test_c41,,1
4,test,week17_gap_join_c41_join_2,41,2,8,8,10,0,-2,2,True,True,test_c41,,2
4,test,week17_gap_join_c41_join_3,41,3,13,12,15,1,-2,2,False,True,test_c41,,3
4,test,week17_gap_join_c41_join_4,41,4,16,16,20,0,-4,4,True,True,test_c41,,4
4,test,week17_gap_join_c41_join_5,41,5,22,20,25,2,-3,3,False,True,test_c41,,5
0,extra_test,week17_gap_cycle_square_c44,44,1,4,4,5,0,-1,1,True,True,extra_test_c44,True,1
0,extra_test,week17_gap_join_c44_join_2,44,2,8,8,10,0,-2,2,True,True,extra_test_c44,True,2
0,extra_test,week17_gap_join_c44_join_3,44,3,14,12,15,2,-1,1,False,True,extra_test_c44,True,3
0,extra_test,week17_gap_join_c44_join_4,44,4,18,16,20,2,-2,2,False,True,extra_test_c44,True,4
0,extra_test,week17_gap_join_c44_join_5,44,5,23,20,25,3,-2,2,False,True,extra_test_c44,True,5
1,extra_test,week17_gap_cycle_square_c44,44,1,5,4,5,1,0,0,False,False,extra_test_c44,True,1
1,extra_test,week17_gap_join_c44_join_2,44,2,9,8,10,1,-1,1,False,True,extra_test_c44,True,2
1,extra_test,week17_gap_join_c44_join_3,44,3,14,12,15,2,-1,1,False,True,extra_test_c44,True,3
1,extra_test,week17_gap_join_c44_join_4,44,4,17,16,20,1,-3,3,False,True,extra_test_c44,True,4
1,extra_test,week17_gap_join_c44_join_5,44,5,21,20,25,1,-4,4,False,True,extra_test_c44,True,5
2,extra_test,week17_gap_cycle_square_c44,44,1,5,4,5,1,0,0,False,False,extra_test_c44,True,1
2,extra_test,week17_gap_join_c44_join_2,44,2,10,8,10,2,0,0,False,False,extra_test_c44,True,2
2,extra_test,week17_gap_join_c44_join_3,44,3,14,12,15,2,-1,1,False,True,extra_test_c44,True,3
2,extra_test,week17_gap_join_c44_join_4,44,4,16,16,20,0,-4,4,True,True,extra_test_c44,True,4
2,extra_test,week17_gap_join_c44_join_5,44,5,20,20,25,0,-5,5,True,True,extra_test_c44,True,5
3,extra_test,week17_gap_cycle_square_c44,44,1,4,4,5,0,-1,1,True,True,extra_test_c44,True,1
3,extra_test,week17_gap_join_c44_join_2,44,2,10,8,10,2,0,0,False,False,extra_test_c44,True,2
3,extra_test,week17_gap_join_c44_join_3,44,3,13,12,15,1,-2,2,False,True,extra_test_c44,True,3
3,extra_test,week17_gap_join_c44_join_4,44,4,16,16,20,0,-4,4,True,True,extra_test_c44,True,4
3,extra_test,week17_gap_join_c44_join_5,44,5,22,20,25,2,-3,3,False,True,extra_test_c44,True,5
4,extra_test,week17_gap_cycle_square_c44,44,1,4,4,5,0,-1,1,True,True,extra_test_c44,True,1
4,extra_test,week17_gap_join_c44_join_2,44,2,8,8,10,0,-2,2,True,True,extra_test_c44,True,2
4,extra_test,week17_gap_join_c44_join_3,44,3,13,12,15,1,-2,2,False,True,extra_test_c44,True,3
4,extra_test,week17_gap_join_c44_join_4,44,4,18,16,20,2,-2,2,False,True,extra_test_c44,True,4
4,extra_test,week17_gap_join_c44_join_5,44,5,23,20,25,3,-2,2,False,True,extra_test_c44,True,5
