seed,split,graph_id,base_cycle_size,gap_level,gnn_colors,target_colors,colpack5_colors,gap_from_target,gap_from_colpack5,colors_saved_vs_colpack5,reached_target,improved_over_colpack5,valid_coloring
0,extra_test,week17_gap_cycle_square_c44,44,1,4,4,5,0,-1,1,True,True,True
0,extra_test,week17_gap_join_c44_join_2,44,2,8,8,10,0,-2,2,True,True,True
0,extra_test,week17_gap_join_c44_join_3,44,3,14,12,15,2,-1,1,False,True,True
0,extra_test,week17_gap_join_c44_join_4,44,4,18,16,20,2,-2,2,False,True,True
0,extra_test,week17_gap_join_c44_join_5,44,5,23,20,25,3,-2,2,False,True,True
1,extra_test,week17_gap_cycle_square_c44,44,1,5,4,5,1,0,0,False,False,True
1,extra_test,week17_gap_join_c44_join_2,44,2,9,8,10,1,-1,1,False,True,True
1,extra_test,week17_gap_join_c44_join_3,44,3,14,12,15,2,-1,1,False,True,True
1,extra_test,week17_gap_join_c44_join_4,44,4,17,16,20,1,-3,3,False,True,True
1,extra_test,week17_gap_join_c44_join_5,44,5,21,20,25,1,-4,4,False,True,True
2,extra_test,week17_gap_cycle_square_c44,44,1,5,4,5,1,0,0,False,False,True
2,extra_test,week17_gap_join_c44_join_2,44,2,10,8,10,2,0,0,False,False,True
2,extra_test,week17_gap_join_c44_join_3,44,3,14,12,15,2,-1,1,False,True,True
2,extra_test,week17_gap_join_c44_join_4,44,4,16,16,20,0,-4,4,True,True,True
2,extra_test,week17_gap_join_c44_join_5,44,5,20,20,25,0,-5,5,True,True,True
3,extra_test,week17_gap_cycle_square_c44,44,1,4,4,5,0,-1,1,True,True,True
3,extra_test,week17_gap_join_c44_join_2,44,2,10,8,10,2,0,0,False,False,True
3,extra_test,week17_gap_join_c44_join_3,44,3,13,12,15,1,-2,2,False,True,True
3,extra_test,week17_gap_join_c44_join_4,44,4,16,16,20,0,-4,4,True,True,True
3,extra_test,week17_gap_join_c44_join_5,44,5,22,20,25,2,-3,3,False,True,True
4,extra_test,week17_gap_cycle_square_c44,44,1,4,4,5,0,-1,1,True,True,True
4,extra_test,week17_gap_join_c44_join_2,44,2,8,8,10,0,-2,2,True,True,True
4,extra_test,week17_gap_join_c44_join_3,44,3,13,12,15,1,-2,2,False,True,True
4,extra_test,week17_gap_join_c44_join_4,44,4,18,16,20,2,-2,2,False,True,True
4,extra_test,week17_gap_join_c44_join_5,44,5,23,20,25,3,-2,2,False,True,True
