graph_id,split,graph_family,base_cycle_size,gap_level,num_nodes,num_directed_edges,num_features,target_colors,known_chromatic_number,best_colpack5_colors,best_colpack5_gap_from_known,selected_ordering,path
week17_gap_cycle_square_c20,train,heuristic_gap_controlled,20,1,20,80,25,4,4,5,1,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c20.pt
week17_gap_join_c20_join_2,train,heuristic_gap_controlled,20,2,40,960,25,8,8,10,2,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c20_join_2.pt
week17_gap_join_c20_join_3,train,heuristic_gap_controlled,20,3,60,2640,25,12,12,15,3,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c20_join_3.pt
week17_gap_join_c20_join_4,train,heuristic_gap_controlled,20,4,80,5120,25,16,16,20,4,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c20_join_4.pt
week17_gap_join_c20_join_5,train,heuristic_gap_controlled,20,5,100,8400,25,20,20,25,5,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c20_join_5.pt
week17_gap_cycle_square_c26,train,heuristic_gap_controlled,26,1,26,104,25,4,4,5,1,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c26.pt
week17_gap_join_c26_join_2,train,heuristic_gap_controlled,26,2,52,1560,25,8,8,10,2,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c26_join_2.pt
week17_gap_join_c26_join_3,train,heuristic_gap_controlled,26,3,78,4368,25,12,12,15,3,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c26_join_3.pt
week17_gap_join_c26_join_4,train,heuristic_gap_controlled,26,4,104,8528,25,16,16,20,4,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c26_join_4.pt
week17_gap_join_c26_join_5,train,heuristic_gap_controlled,26,5,130,14040,25,20,20,25,5,EXACT_OPTIMAL_COLOR_CLASS_ORDER,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c26_join_5.pt
