condition,condition_label,gap_level,num_seeds,num_nodes,target_colors,colpack5_colors,mean_gnn_colors,std_gnn_colors,minimum_gnn_colors,maximum_gnn_colors,mean_gap_from_target,mean_colors_saved_vs_colpack5,mean_percentage_colpack_gap_closed,exact_target_runs,all_valid,baseline_mean_gnn_colors,mean_improvement_vs_baseline
train_20_baseline,20 graphs,1,5,41,4,5,4.6,0.48989794855663565,4,5,0.6,0.4,40.0,2,True,4.6,0.0
train_20_baseline,20 graphs,2,5,82,8,10,9.0,0.6324555320336759,8,10,1.0,1.0,50.0,1,True,9.0,0.0
train_20_baseline,20 graphs,3,5,123,12,15,13.4,0.48989794855663565,13,14,1.4,1.6,53.33333333333333,0,True,13.4,0.0
train_20_baseline,20 graphs,4,5,164,16,20,16.8,0.7483314773547882,16,18,0.8,3.2,80.0,2,True,16.8,0.0
train_20_baseline,20 graphs,5,5,205,20,25,21.2,0.7483314773547883,20,22,1.2,3.8,76.0,1,True,21.2,0.0
train_32_plus12,32 graphs,1,5,41,4,5,4.8,0.39999999999999997,4,5,0.8,0.2,20.0,1,True,4.6,-0.20000000000000018
train_32_plus12,32 graphs,2,5,82,8,10,9.2,0.9797958971132712,8,10,1.2,0.8,40.0,2,True,9.0,-0.1999999999999993
train_32_plus12,32 graphs,3,5,123,12,15,13.8,0.7483314773547883,13,15,1.8,1.2,39.99999999999999,0,True,13.4,-0.40000000000000036
train_32_plus12,32 graphs,4,5,164,16,20,17.0,0.6324555320336759,16,18,1.0,3.0,75.0,1,True,16.8,-0.1999999999999993
train_32_plus12,32 graphs,5,5,205,20,25,22.6,1.2,21,24,2.6,2.4,48.0,0,True,21.2,-1.4000000000000021
train_44_plus24,44 graphs,1,5,41,4,5,4.6,0.4898979485566356,4,5,0.6,0.4,40.0,2,True,4.6,0.0
train_44_plus24,44 graphs,2,5,82,8,10,9.2,0.9797958971132712,8,10,1.2,0.8,40.0,2,True,9.0,-0.1999999999999993
train_44_plus24,44 graphs,3,5,123,12,15,13.0,0.6324555320336759,12,14,1.0,2.0,66.66666666666666,1,True,13.4,0.40000000000000036
train_44_plus24,44 graphs,4,5,164,16,20,17.0,0.8944271909999159,16,18,1.0,3.0,75.0,2,True,16.8,-0.1999999999999993
train_44_plus24,44 graphs,5,5,205,20,25,21.8,1.1661903789690602,20,23,1.8,3.2,64.0,1,True,21.2,-0.6000000000000014
train_125_plus105,125 graphs,1,5,41,4,5,4.6,0.4898979485566356,4,5,0.6,0.4,40.0,2,True,4.6,0.0
train_125_plus105,125 graphs,2,5,82,8,10,9.6,0.7999999999999999,8,10,1.6,0.4,20.0,1,True,9.0,-0.5999999999999996
train_125_plus105,125 graphs,3,5,123,12,15,13.6,0.48989794855663565,13,14,1.6,1.4,46.666666666666664,0,True,13.4,-0.1999999999999993
train_125_plus105,125 graphs,4,5,164,16,20,17.0,0.8944271909999159,16,18,1.0,3.0,75.0,2,True,16.8,-0.1999999999999993
train_125_plus105,125 graphs,5,5,205,20,25,21.4,1.4966629547095764,20,24,1.4,3.6,72.0,2,True,21.2,-0.1999999999999993
