condition,condition_label,seed,gap_level,graph_id,num_nodes,target_colors,colpack5_colors,gnn_colors,gnn_gap_from_target,colors_saved_vs_colpack5,percentage_colpack_gap_closed,reached_exact_target,coloring_valid
train_20_baseline,20 graphs,0,1,week17_gap_cycle_square_c41,41,4,5,4,0,1,100.0,True,True
train_20_baseline,20 graphs,0,2,week17_gap_join_c41_join_2,82,8,10,9,1,1,50.0,False,True
train_20_baseline,20 graphs,0,3,week17_gap_join_c41_join_3,123,12,15,14,2,1,33.33333333333333,False,True
train_20_baseline,20 graphs,0,4,week17_gap_join_c41_join_4,164,16,20,17,1,3,75.0,False,True
train_20_baseline,20 graphs,0,5,week17_gap_join_c41_join_5,205,20,25,20,0,5,100.0,True,True
train_20_baseline,20 graphs,1,1,week17_gap_cycle_square_c41,41,4,5,5,1,0,0.0,False,True
train_20_baseline,20 graphs,1,2,week17_gap_join_c41_join_2,82,8,10,9,1,1,50.0,False,True
train_20_baseline,20 graphs,1,3,week17_gap_join_c41_join_3,123,12,15,13,1,2,66.66666666666666,False,True
train_20_baseline,20 graphs,1,4,week17_gap_join_c41_join_4,164,16,20,17,1,3,75.0,False,True
train_20_baseline,20 graphs,1,5,week17_gap_join_c41_join_5,205,20,25,21,1,4,80.0,False,True
train_20_baseline,20 graphs,2,1,week17_gap_cycle_square_c41,41,4,5,5,1,0,0.0,False,True
train_20_baseline,20 graphs,2,2,week17_gap_join_c41_join_2,82,8,10,10,2,0,0.0,False,True
train_20_baseline,20 graphs,2,3,week17_gap_join_c41_join_3,123,12,15,14,2,1,33.33333333333333,False,True
train_20_baseline,20 graphs,2,4,week17_gap_join_c41_join_4,164,16,20,16,0,4,100.0,True,True
train_20_baseline,20 graphs,2,5,week17_gap_join_c41_join_5,205,20,25,21,1,4,80.0,False,True
train_20_baseline,20 graphs,3,1,week17_gap_cycle_square_c41,41,4,5,4,0,1,100.0,True,True
train_20_baseline,20 graphs,3,2,week17_gap_join_c41_join_2,82,8,10,9,1,1,50.0,False,True
