condition,seed,experiment,model_name,target_ordering,feature_set,checkpoint_selection,num_train_graphs,num_original_train_graphs,num_added_mixed_graphs,total_train_nodes,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,learning_rate,num_epochs,best_epoch,best_validation_total_colors,best_validation_loss,final_train_loss_best_model,final_validation_loss_best_model,final_test_loss_best_model,final_train_total_colors,final_train_target_colors,final_train_colpack5_colors,final_train_gap_from_target,final_train_colors_saved_vs_colpack5,final_validation_total_colors,final_validation_target_colors,final_validation_colpack5_colors,final_validation_gap_from_target,final_validation_colors_saved_vs_colpack5,final_test_total_colors,final_test_target_colors,final_test_colpack5_colors,final_test_gap_from_target,final_test_colors_saved_vs_colpack5,final_test_exact_target_graphs,final_test_better_than_colpack_graphs,final_test_all_valid,final_test_per_graph_colors,checkpoint_path
train_125_plus105,0,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,125,20,105,13860,5,5,25,32,0.01,500,2,63,1.0108979359269141,1.1447815908789634,1.0108979359269141,1.5754656434059142,2229,2016,2520,213,291,63,60,75,3,12,67,60,75,7,8,1,4,True,week17_gap_cycle_square_c41:base41/gap1/gnn4/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn10/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn14/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn17/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn22/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_125_plus105\best_gnn_node_scorer_seed_0.pt
train_125_plus105,1,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,125,20,105,13860,5,5,25,32,0.01,500,2,63,53.52180073261261,57.77914660799503,53.52180073261261,83.3151459813118,2265,2016,2520,249,255,63,60,75,3,12,65,60,75,5,10,2,3,True,week17_gap_cycle_square_c41:base41/gap1/gnn5/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn10/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn14/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn16/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn20/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_125_plus105\best_gnn_node_scorer_seed_1.pt
train_125_plus105,2,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,125,20,105,13860,5,5,25,32,0.01,500,21,64,0.8369683906435966,1.292632056236267,0.8369683906435966,1.2203585520386695,2220,2016,2520,204,300,64,60,75,4,11,70,60,75,10,5,0,3,True,week17_gap_cycle_square_c41:base41/gap1/gnn5/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn10/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn13/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn18/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn24/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_125_plus105\best_gnn_node_scorer_seed_2.pt
train_125_plus105,3,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,125,20,105,13860,5,5,25,32,0.01,500,2,62,2.2723237454891203,3.46992101752758,2.2723237454891203,2.3769429326057434,2233,2016,2520,217,287,62,60,75,2,13,62,60,75,2,13,3,4,True,week17_gap_cycle_square_c41:base41/gap1/gnn5/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn8/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn13/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn16/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn20/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_125_plus105\best_gnn_node_scorer_seed_3.pt
train_125_plus105,4,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,125,20,105,13860,5,5,25,32,0.01,500,6,64,0.24466520324349403,0.11277985858917236,0.24466520324349403,0.39746081829071045,2327,2016,2520,311,193,64,60,75,4,11,67,60,75,7,8,1,4,True,week17_gap_cycle_square_c41:base41/gap1/gnn4/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn10/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn14/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn18/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn21/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_125_plus105\best_gnn_node_scorer_seed_4.pt
train_20_baseline,0,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,20,20,0,1650,5,5,25,32,0.01,500,1,65,9853.539342558384,3449.8061191812158,9853.539342558384,13225.40264505148,269,240,300,29,31,65,60,75,5,10,64,60,75,4,11,2,5,True,week17_gap_cycle_square_c41:base41/gap1/gnn4/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn9/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn14/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn17/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn20/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_20_baseline\best_gnn_node_scorer_seed_0.pt
train_20_baseline,1,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,20,20,0,1650,5,5,25,32,0.01,500,6,66,0.1773754522204399,0.16012834683060645,0.1773754522204399,0.19675400406122207,284,240,300,44,16,66,60,75,6,9,65,60,75,5,10,0,4,True,week17_gap_cycle_square_c41:base41/gap1/gnn5/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn9/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn13/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn17/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn21/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_20_baseline\best_gnn_node_scorer_seed_1.pt
train_20_baseline,2,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,20,20,0,1650,5,5,25,32,0.01,500,6,66,7.202387458086013,1.7595260705798865,7.202387458086013,11.29557552933693,279,240,300,39,21,66,60,75,6,9,66,60,75,6,9,1,3,True,week17_gap_cycle_square_c41:base41/gap1/gnn5/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn10/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn14/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn16/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn21/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_20_baseline\best_gnn_node_scorer_seed_2.pt
train_20_baseline,3,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,20,20,0,1650,5,5,25,32,0.01,500,1,64,7701.89816005826,2841.323441259563,7701.89816005826,10183.277345186472,265,240,300,25,35,64,60,75,4,11,66,60,75,6,9,1,5,True,week17_gap_cycle_square_c41:base41/gap1/gnn4/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn9/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn13/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn18/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn22/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_20_baseline\best_gnn_node_scorer_seed_3.pt
train_20_baseline,4,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,20,20,0,1650,5,5,25,32,0.01,500,5,63,472.346033090353,148.55270029455423,472.346033090353,653.540797317028,263,240,300,23,37,63,60,75,3,12,64,60,75,4,11,2,4,True,week17_gap_cycle_square_c41:base41/gap1/gnn5/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn8/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn13/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn16/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn22/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_20_baseline\best_gnn_node_scorer_seed_4.pt
train_32_plus12,0,WEEK18_CONTROLLED_DATA_SCALING,GNNNodeScorer,EXACT_OPTIMAL_COLOR_CLASS_ORDER,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,32,20,12,2796,5,5,25,32,0.01,500,151,64,0.15081539005041122,0.1370652646292001,0.15081539005041122,0.19719018489122392,462,408,510,54,48,64,60,75,4,11,71,60,75,11,4,0,2,True,week17_gap_cycle_square_c41:base41/gap1/gnn5/target4/colpack55; week17_gap_join_c41_join_2:base41/gap2/gnn10/target8/colpack510; week17_gap_join_c41_join_3:base41/gap3/gnn15/target12/colpack515; week17_gap_join_c41_join_4:base41/gap4/gnn17/target16/colpack520; week17_gap_join_c41_join_5:base41/gap5/gnn24/target20/colpack525,results\models\gnn_node_scorer\week18_controlled_data_scaling_gnn_runs\train_32_plus12\best_gnn_node_scorer_seed_0.pt
