condition,condition_label,representative_seed,gap_level,num_graphs,total_nodes,total_target_colors,total_colpack5_colors,total_gnn_colors,total_gnn_gap_from_target,total_colors_saved_vs_colpack5,mean_percentage_colpack_gap_closed,exact_target_graphs,all_valid
train_20_baseline,20 graphs,4,1,1,41,4,5,5,1,0,0.0,0,True
train_20_baseline,20 graphs,4,2,1,82,8,10,8,0,2,100.0,1,True
train_20_baseline,20 graphs,4,3,1,123,12,15,13,1,2,66.66666666666666,0,True
train_20_baseline,20 graphs,4,4,1,164,16,20,16,0,4,100.0,1,True
train_20_baseline,20 graphs,4,5,1,205,20,25,22,2,3,60.0,0,True
train_32_plus12,32 graphs,3,1,1,41,4,5,4,0,1,100.0,1,True
train_32_plus12,32 graphs,3,2,1,82,8,10,10,2,0,0.0,0,True
train_32_plus12,32 graphs,3,3,1,123,12,15,13,1,2,66.66666666666666,0,True
train_32_plus12,32 graphs,3,4,1,164,16,20,16,0,4,100.0,1,True
train_32_plus12,32 graphs,3,5,1,205,20,25,24,4,1,20.0,0,True
train_44_plus24,44 graphs,1,1,1,41,4,5,5,1,0,0.0,0,True
train_44_plus24,44 graphs,1,2,1,82,8,10,8,0,2,100.0,1,True
train_44_plus24,44 graphs,1,3,1,123,12,15,13,1,2,66.66666666666666,0,True
train_44_plus24,44 graphs,1,4,1,164,16,20,18,2,2,50.0,0,True
train_44_plus24,44 graphs,1,5,1,205,20,25,21,1,4,80.0,0,True
train_125_plus105,125 graphs,3,1,1,41,4,5,5,1,0,0.0,0,True
train_125_plus105,125 graphs,3,2,1,82,8,10,8,0,2,100.0,1,True
train_125_plus105,125 graphs,3,3,1,123,12,15,13,1,2,66.66666666666666,0,True
train_125_plus105,125 graphs,3,4,1,164,16,20,16,0,4,100.0,1,True
train_125_plus105,125 graphs,3,5,1,205,20,25,20,0,5,100.0,1,True
