graph_id,split,graph_family,num_components_joined,component_cycle_sizes,num_unique_component_sizes,gap_level,num_nodes,num_directed_edges,num_features,target_colors,known_chromatic_number,best_colpack5_colors,best_colpack5_gap_from_known,selected_ordering,score_convention,path
week18_controlled_mixed_join_2_c20_c26,train,mixed_join_of_cycle_square_hard_cases,2,20;26,2,2,46,1224,25,8,8,10,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c20_c26.pt
week18_controlled_mixed_join_2_c20_c29,train,mixed_join_of_cycle_square_hard_cases,2,20;29,2,2,49,1356,25,8,8,10,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c20_c29.pt
week18_controlled_mixed_join_2_c20_c35,train,mixed_join_of_cycle_square_hard_cases,2,20;35,2,2,55,1620,25,8,8,10,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c20_c35.pt
week18_controlled_mixed_join_2_c26_c29,train,mixed_join_of_cycle_square_hard_cases,2,26;29,2,2,55,1728,25,8,8,10,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c26_c29.pt
week18_controlled_mixed_join_2_c26_c35,train,mixed_join_of_cycle_square_hard_cases,2,26;35,2,2,61,2064,25,8,8,10,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c26_c35.pt
week18_controlled_mixed_join_2_c29_c35,train,mixed_join_of_cycle_square_hard_cases,2,29;35,2,2,64,2286,25,8,8,10,2,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_2_c29_c35.pt
week18_controlled_mixed_join_3_c20_c20_c26,train,mixed_join_of_cycle_square_hard_cases,3,20;20;26,2,3,66,3144,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c20_c26.pt
week18_controlled_mixed_join_3_c20_c20_c29,train,mixed_join_of_cycle_square_hard_cases,3,20;20;29,2,3,69,3396,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c20_c29.pt
week18_controlled_mixed_join_3_c20_c26_c26,train,mixed_join_of_cycle_square_hard_cases,3,20;26;26,2,3,72,3720,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c26_c26.pt
week18_controlled_mixed_join_3_c20_c20_c35,train,mixed_join_of_cycle_square_hard_cases,3,20;20;35,2,3,75,3900,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c20_c35.pt
week18_controlled_mixed_join_3_c20_c26_c29,train,mixed_join_of_cycle_square_hard_cases,3,20;26;29,3,3,75,4008,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c26_c29.pt
week18_controlled_mixed_join_3_c20_c29_c29,train,mixed_join_of_cycle_square_hard_cases,3,20;29;29,2,3,78,4314,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c29_c29.pt
week18_controlled_mixed_join_3_c20_c26_c35,train,mixed_join_of_cycle_square_hard_cases,3,20;26;35,3,3,81,4584,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c26_c35.pt
week18_controlled_mixed_join_3_c26_c26_c29,train,mixed_join_of_cycle_square_hard_cases,3,26;26;29,2,3,81,4692,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c26_c29.pt
week18_controlled_mixed_join_3_c20_c29_c35,train,mixed_join_of_cycle_square_hard_cases,3,20;29;35,3,3,84,4926,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c29_c35.pt
week18_controlled_mixed_join_3_c26_c29_c29,train,mixed_join_of_cycle_square_hard_cases,3,26;29;29,2,3,84,5034,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c29_c29.pt
week18_controlled_mixed_join_3_c26_c26_c35,train,mixed_join_of_cycle_square_hard_cases,3,26;26;35,2,3,87,5340,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c26_c35.pt
week18_controlled_mixed_join_3_c20_c35_c35,train,mixed_join_of_cycle_square_hard_cases,3,20;35;35,2,3,90,5610,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c20_c35_c35.pt
week18_controlled_mixed_join_3_c26_c29_c35,train,mixed_join_of_cycle_square_hard_cases,3,26;29;35,3,3,90,5718,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c29_c35.pt
week18_controlled_mixed_join_3_c29_c29_c35,train,mixed_join_of_cycle_square_hard_cases,3,29;29;35,2,3,93,6114,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c29_c29_c35.pt
week18_controlled_mixed_join_3_c26_c35_c35,train,mixed_join_of_cycle_square_hard_cases,3,26;35;35,2,3,96,6474,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c26_c35_c35.pt
week18_controlled_mixed_join_3_c29_c35_c35,train,mixed_join_of_cycle_square_hard_cases,3,29;35;35,2,3,99,6906,25,12,12,15,3,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_3_c29_c35_c35.pt
week18_controlled_mixed_join_4_c20_c20_c20_c26,train,mixed_join_of_cycle_square_hard_cases,4,20;20;20;26,2,4,86,5864,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c20_c26.pt
week18_controlled_mixed_join_4_c20_c20_c20_c29,train,mixed_join_of_cycle_square_hard_cases,4,20;20;20;29,2,4,89,6236,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c20_c29.pt
week18_controlled_mixed_join_4_c20_c20_c26_c26,train,mixed_join_of_cycle_square_hard_cases,4,20;20;26;26,2,4,92,6680,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c26_c26.pt
week18_controlled_mixed_join_4_c20_c20_c20_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;20;20;35,2,4,95,6980,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c20_c35.pt
week18_controlled_mixed_join_4_c20_c20_c26_c29,train,mixed_join_of_cycle_square_hard_cases,4,20;20;26;29,3,4,95,7088,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c26_c29.pt
week18_controlled_mixed_join_4_c20_c20_c29_c29,train,mixed_join_of_cycle_square_hard_cases,4,20;20;29;29,2,4,98,7514,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c29_c29.pt
week18_controlled_mixed_join_4_c20_c26_c26_c26,train,mixed_join_of_cycle_square_hard_cases,4,20;26;26;26,2,4,98,7568,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c26_c26.pt
week18_controlled_mixed_join_4_c20_c20_c26_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;20;26;35,3,4,101,7904,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c26_c35.pt
week18_controlled_mixed_join_4_c20_c26_c26_c29,train,mixed_join_of_cycle_square_hard_cases,4,20;26;26;29,3,4,101,8012,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c26_c29.pt
week18_controlled_mixed_join_4_c20_c20_c29_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;20;29;35,3,4,104,8366,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c29_c35.pt
week18_controlled_mixed_join_4_c20_c26_c29_c29,train,mixed_join_of_cycle_square_hard_cases,4,20;26;29;29,3,4,104,8474,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c29_c29.pt
week18_controlled_mixed_join_4_c20_c26_c26_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;26;26;35,3,4,107,8900,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c26_c35.pt
week18_controlled_mixed_join_4_c20_c29_c29_c29,train,mixed_join_of_cycle_square_hard_cases,4,20;29;29;29,2,4,107,8954,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c29_c29_c29.pt
week18_controlled_mixed_join_4_c26_c26_c26_c29,train,mixed_join_of_cycle_square_hard_cases,4,26;26;26;29,2,4,107,9008,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c26_c26_c26_c29.pt
week18_controlled_mixed_join_4_c20_c20_c35_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;20;35;35,2,4,110,9290,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c20_c35_c35.pt
week18_controlled_mixed_join_4_c20_c26_c29_c35,train,mixed_join_of_cycle_square_hard_cases,4,20;26;29;35,4,4,110,9398,25,16,16,20,4,EXACT_KNOWN_COLOR_CLASS_ORDERING,higher_score_processed_earlier,data\processed\initial_graph_coloring_dataset\pyg_data_week18_controlled_mixed_exact\week18_controlled_mixed_join_4_c20_c26_c29_c35.pt
