split,selected_teacher_ordering,num_graphs,minimum_vertices,maximum_vertices,average_vertices,minimum_gap,maximum_gap
test,DYNAMIC_LARGEST_FIRST,3,56,90,68.66666666666667,2,26
test,INCIDENCE_DEGREE,3,52,120,97.33333333333333,2,24
test,LARGEST_FIRST,3,60,120,80.0,2,2
test,SMALLEST_LAST,3,48,80,62.666666666666664,2,28
train,DYNAMIC_LARGEST_FIRST,12,20,120,86.83333333333333,2,14
train,INCIDENCE_DEGREE,12,28,120,83.16666666666667,2,12
train,LARGEST_FIRST,12,40,120,91.66666666666667,2,3
train,SMALLEST_LAST,12,24,120,73.33333333333333,2,16
validation,DYNAMIC_LARGEST_FIRST,2,44,120,82.0,2,20
validation,INCIDENCE_DEGREE,2,40,80,60.0,2,18
validation,LARGEST_FIRST,2,90,100,95.0,2,2
validation,SMALLEST_LAST,2,60,100,80.0,2,2
