graph_id,split,split_group_id,graph_family,num_nodes,num_undirected_edges,num_directed_edges,num_features,selected_teacher_ordering,selected_teacher_num_colors,best_colpack5_colors,worst_colpack5_colors,ordering_gap,num_best_orderings,density,path
week18_crown_m28_alternating,test,crown:week18_crown_m28_alternating,crown,56,756,1512,25,DYNAMIC_LARGEST_FIRST,2,2,28,26,3,0.4909090909090909,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m28_alternating.pt
week18_sbm_three_blocks_90_strong_s0,test,stochastic_block_model:week18_sbm_three_blocks_90_strong,stochastic_block_model,90,528,1056,25,DYNAMIC_LARGEST_FIRST,7,7,9,2,3,0.1318352059925093,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_three_blocks_90_strong_s0.pt
week18_sbm_two_blocks_60_moderate_s1,test,stochastic_block_model:week18_sbm_two_blocks_60_moderate,stochastic_block_model,60,271,542,25,DYNAMIC_LARGEST_FIRST,6,6,8,2,4,0.1531073446327683,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_two_blocks_60_moderate_s1.pt
week18_crown_m26_alternating,test,crown:week18_crown_m26_alternating,crown,52,650,1300,25,INCIDENCE_DEGREE,2,2,26,24,3,0.4901960784313725,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m26_alternating.pt
week18_sbm_three_blocks_120_weak_s0,test,stochastic_block_model:week18_sbm_three_blocks_120_weak,stochastic_block_model,120,853,1706,25,INCIDENCE_DEGREE,7,7,9,2,1,0.1194677871148459,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_three_blocks_120_weak_s0.pt
week18_sbm_three_blocks_120_weak_s1,test,stochastic_block_model:week18_sbm_three_blocks_120_weak,stochastic_block_model,120,864,1728,25,INCIDENCE_DEGREE,7,7,10,3,2,0.1210084033613445,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_three_blocks_120_weak_s1.pt
week18_er_n120_p12_s3,test,erdos_renyi:week18_er_n120_p12,erdos_renyi,120,854,1708,25,LARGEST_FIRST,8,8,10,2,3,0.1196078431372549,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p12_s3.pt
week18_sbm_two_blocks_60_moderate_s0,test,stochastic_block_model:week18_sbm_two_blocks_60_moderate,stochastic_block_model,60,256,512,25,LARGEST_FIRST,6,6,8,2,4,0.1446327683615819,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_two_blocks_60_moderate_s0.pt
week18_ws_n60_k8_p50_s0,test,watts_strogatz:week18_ws_n60_k8_p50,watts_strogatz,60,240,480,25,LARGEST_FIRST,5,5,7,2,2,0.135593220338983,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_ws_n60_k8_p50_s0.pt
week18_crown_m24_alternating,test,crown:week18_crown_m24_alternating,crown,48,552,1104,25,SMALLEST_LAST,2,2,24,22,3,0.4893617021276595,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m24_alternating.pt
week18_crown_m30_alternating,test,crown:week18_crown_m30_alternating,crown,60,870,1740,25,SMALLEST_LAST,2,2,30,28,3,0.4915254237288136,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m30_alternating.pt
week18_sbm_two_blocks_80_strong_s0,test,stochastic_block_model:week18_sbm_two_blocks_80_strong,stochastic_block_model,80,616,1232,25,SMALLEST_LAST,8,8,10,2,1,0.1949367088607595,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_two_blocks_80_strong_s0.pt
week18_crown_m10_alternating,train,crown:week18_crown_m10_alternating,crown,20,90,180,25,DYNAMIC_LARGEST_FIRST,2,2,10,8,3,0.4736842105263157,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m10_alternating.pt
week18_crown_m16_alternating,train,crown:week18_crown_m16_alternating,crown,32,240,480,25,DYNAMIC_LARGEST_FIRST,2,2,16,14,3,0.4838709677419355,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m16_alternating.pt
week18_er_n100_p12_s3,train,erdos_renyi:week18_er_n100_p12,erdos_renyi,100,614,1228,25,DYNAMIC_LARGEST_FIRST,7,7,9,2,1,0.124040404040404,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p12_s3.pt
week18_er_n100_p22_s2,train,erdos_renyi:week18_er_n100_p22,erdos_renyi,100,1110,2220,25,DYNAMIC_LARGEST_FIRST,10,10,12,2,1,0.2242424242424242,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p22_s2.pt
week18_er_n100_p22_s3,train,erdos_renyi:week18_er_n100_p22,erdos_renyi,100,1141,2282,25,DYNAMIC_LARGEST_FIRST,10,10,12,2,1,0.2305050505050505,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p22_s3.pt
week18_er_n120_p22_s1,train,erdos_renyi:week18_er_n120_p22,erdos_renyi,120,1602,3204,25,DYNAMIC_LARGEST_FIRST,12,12,14,2,3,0.2243697478991596,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p22_s1.pt
week18_er_n120_p22_s3,train,erdos_renyi:week18_er_n120_p22,erdos_renyi,120,1580,3160,25,DYNAMIC_LARGEST_FIRST,11,11,13,2,1,0.2212885154061624,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n120_p22_s3.pt
week18_er_n80_p22_s2,train,erdos_renyi:week18_er_n80_p22,erdos_renyi,80,644,1288,25,DYNAMIC_LARGEST_FIRST,8,8,10,2,3,0.2037974683544303,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p22_s2.pt
week18_er_n80_p30_s0,train,erdos_renyi:week18_er_n80_p30,erdos_renyi,80,972,1944,25,DYNAMIC_LARGEST_FIRST,10,10,12,2,1,0.3075949367088607,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n80_p30_s0.pt
week18_sbm_three_blocks_120_strong_s1,train,stochastic_block_model:week18_sbm_three_blocks_120_strong,stochastic_block_model,120,908,1816,25,DYNAMIC_LARGEST_FIRST,8,8,10,2,2,0.1271708683473389,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_three_blocks_120_strong_s1.pt
week18_sbm_three_blocks_90_weak_s0,train,stochastic_block_model:week18_sbm_three_blocks_90_weak,stochastic_block_model,90,503,1006,25,DYNAMIC_LARGEST_FIRST,6,6,8,2,1,0.1255930087390761,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_three_blocks_90_weak_s0.pt
week18_sbm_two_blocks_80_weak_s1,train,stochastic_block_model:week18_sbm_two_blocks_80_weak,stochastic_block_model,80,441,882,25,DYNAMIC_LARGEST_FIRST,6,6,8,2,1,0.1395569620253164,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_sbm_two_blocks_80_weak_s1.pt
week18_ba_n120_m6_s1,train,barabasi_albert:week18_ba_n120_m6,barabasi_albert,120,684,1368,25,INCIDENCE_DEGREE,6,6,8,2,2,0.0957983193277311,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_ba_n120_m6_s1.pt
week18_crown_m14_alternating,train,crown:week18_crown_m14_alternating,crown,28,182,364,25,INCIDENCE_DEGREE,2,2,14,12,3,0.4814814814814814,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_crown_m14_alternating.pt
week18_er_n100_p22_s0,train,erdos_renyi:week18_er_n100_p22,erdos_renyi,100,1119,2238,25,INCIDENCE_DEGREE,10,10,12,2,2,0.226060606060606,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p22_s0.pt
week18_er_n100_p22_s1,train,erdos_renyi:week18_er_n100_p22,erdos_renyi,100,1081,2162,25,INCIDENCE_DEGREE,10,10,12,2,3,0.2183838383838383,C:\Users\riyat\Documents\Thesis Implementations\data\processed\initial_graph_coloring_dataset\pyg_data_week18_heterogeneous_generalization\week18_er_n100_p22_s1.pt
