split_group_id,split,split_grouping_mode,num_graphs,graph_ids,families,LARGEST_FIRST,DYNAMIC_LARGEST_FIRST,INCIDENCE_DEGREE,SMALLEST_LAST
barabasi_albert:week18_ba_n120_m6,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_ba_n120_m6_s1,barabasi_albert,0,0,1,0
crown:week18_crown_m10_alternating,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m10_alternating,crown,0,1,0,0
crown:week18_crown_m12_alternating,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m12_alternating,crown,0,0,0,1
crown:week18_crown_m14_alternating,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m14_alternating,crown,0,0,1,0
crown:week18_crown_m16_alternating,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m16_alternating,crown,0,1,0,0
crown:week18_crown_m18_alternating,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m18_alternating,crown,0,0,0,1
crown:week18_crown_m20_alternating,validation,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m20_alternating,crown,0,0,1,0
crown:week18_crown_m22_alternating,validation,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m22_alternating,crown,0,1,0,0
crown:week18_crown_m24_alternating,test,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m24_alternating,crown,0,0,0,1
crown:week18_crown_m26_alternating,test,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m26_alternating,crown,0,0,1,0
crown:week18_crown_m28_alternating,test,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m28_alternating,crown,0,1,0,0
crown:week18_crown_m30_alternating,test,strict_replicate_groups_with_fixed_crown_sizes,1,week18_crown_m30_alternating,crown,0,0,0,1
erdos_renyi:week18_er_n100_p12,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_er_n100_p12_s0; week18_er_n100_p12_s3,erdos_renyi,1,1,0,0
erdos_renyi:week18_er_n100_p16,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_er_n100_p16_s0; week18_er_n100_p16_s3,erdos_renyi,1,0,0,1
erdos_renyi:week18_er_n100_p22,train,strict_replicate_groups_with_fixed_crown_sizes,4,week18_er_n100_p22_s0; week18_er_n100_p22_s1; week18_er_n100_p22_s2; week18_er_n100_p22_s3,erdos_renyi,0,2,2,0
erdos_renyi:week18_er_n100_p30,validation,strict_replicate_groups_with_fixed_crown_sizes,2,week18_er_n100_p30_s0; week18_er_n100_p30_s3,erdos_renyi,1,0,0,1
erdos_renyi:week18_er_n120_p06,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_er_n120_p06_s2,erdos_renyi,0,0,0,1
erdos_renyi:week18_er_n120_p09,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_er_n120_p09_s1,erdos_renyi,1,0,0,0
erdos_renyi:week18_er_n120_p12,test,strict_replicate_groups_with_fixed_crown_sizes,1,week18_er_n120_p12_s3,erdos_renyi,1,0,0,0
erdos_renyi:week18_er_n120_p16,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_er_n120_p16_s0; week18_er_n120_p16_s2,erdos_renyi,2,0,0,0
erdos_renyi:week18_er_n120_p22,train,strict_replicate_groups_with_fixed_crown_sizes,4,week18_er_n120_p22_s0; week18_er_n120_p22_s1; week18_er_n120_p22_s2; week18_er_n120_p22_s3,erdos_renyi,2,2,0,0
erdos_renyi:week18_er_n120_p30,train,strict_replicate_groups_with_fixed_crown_sizes,3,week18_er_n120_p30_s1; week18_er_n120_p30_s2; week18_er_n120_p30_s3,erdos_renyi,0,0,2,1
erdos_renyi:week18_er_n40_p12,train,strict_replicate_groups_with_fixed_crown_sizes,1,week18_er_n40_p12_s3,erdos_renyi,1,0,0,0
erdos_renyi:week18_er_n40_p22,train,strict_replicate_groups_with_fixed_crown_sizes,3,week18_er_n40_p22_s0; week18_er_n40_p22_s1; week18_er_n40_p22_s3,erdos_renyi,1,0,2,0
erdos_renyi:week18_er_n40_p30,train,strict_replicate_groups_with_fixed_crown_sizes,2,week18_er_n40_p30_s0; week18_er_n40_p30_s3,erdos_renyi,0,0,0,2
