training_size,seed,num_train_graphs,num_validation_graphs,num_test_graphs,input_dim,hidden_channels,learning_rate,num_epochs,best_epoch,best_validation_total_colors,best_validation_loss,final_train_loss,final_validation_loss,final_test_loss,final_train_total_colors,final_train_target_colors,final_train_gap_from_target,final_validation_total_colors,final_validation_target_colors,final_validation_gap_from_target,final_validation_exact_matches,final_test_total_colors,final_test_target_colors,final_test_gap_from_target,final_test_average_gap_per_graph,final_test_exact_matches,final_test_better_than_target_count,final_test_worse_than_target_count,final_test_all_valid,final_test_per_graph_results,checkpoint_path
12,0,12,8,12,25,32,0.01,500,3,52,0.11809066077694297,0.08490606397390366,0.11809066077694297,0.17080302660663924,92,83,9,52,51,1,3,67,62,5,0.4166666666666667,7,0,5,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=7/target=7/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=7/target=6/gap=1/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=9/target=8/gap=1/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=6/target=5/gap=1/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_12\week18_ablation_train_12_seed_0.pt
12,1,12,8,12,25,32,0.01,500,51,53,0.2711595129221678,0.05315388304491838,0.2711595129221678,0.441244311320285,94,83,11,53,51,2,2,67,62,5,0.4166666666666667,7,0,5,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=7/target=7/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=7/target=6/gap=1/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=9/target=8/gap=1/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=6/target=5/gap=1/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_12\week18_ablation_train_12_seed_1.pt
12,2,12,8,12,25,32,0.01,500,351,52,0.27057680836878717,0.04679381754249334,0.27057680836878717,0.11518135263274114,93,83,10,52,51,1,5,65,62,3,0.25,9,0,3,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=7/target=7/gap=0/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=8/target=8/gap=0/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=6/target=5/gap=1/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_12\week18_ablation_train_12_seed_2.pt
12,3,12,8,12,25,32,0.01,500,438,53,0.25790228438563645,0.04556056406969825,0.25790228438563645,0.11841057675580184,89,83,6,53,51,2,4,66,62,4,0.3333333333333333,8,0,4,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=8/target=8/gap=0/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=6/target=5/gap=1/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_12\week18_ablation_train_12_seed_3.pt
12,4,12,8,12,25,32,0.01,500,52,51,0.6566594429314137,0.05229721606398622,0.6566594429314137,0.5225090282037854,94,83,11,51,51,0,4,66,62,4,0.3333333333333333,9,0,3,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=9/target=7/gap=2/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=7/target=7/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=7/target=6/gap=1/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=8/target=8/gap=0/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=5/target=5/gap=0/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_12\week18_ablation_train_12_seed_4.pt
24,0,24,8,12,25,32,0.01,500,186,53,0.056237963028252125,0.05156753507132331,0.056237963028252125,0.059566769283264875,217,201,16,53,51,2,4,65,62,3,0.25,9,0,3,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=7/target=7/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=8/target=8/gap=0/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=6/target=5/gap=1/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_24\week18_ablation_train_24_seed_0.pt
24,1,24,8,12,25,32,0.01,500,471,53,0.04995250201318413,0.04718451923690736,0.04995250201318413,0.0547396382316947,217,201,16,53,51,2,4,65,62,3,0.25,9,0,3,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=8/target=8/gap=0/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=5/target=5/gap=0/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_24\week18_ablation_train_24_seed_1.pt
24,2,24,8,12,25,32,0.01,500,77,55,0.08676990400999784,0.08417449456950028,0.08676990400999784,0.08944054506719112,244,201,43,55,51,4,6,75,62,13,1.0833333333333333,6,0,6,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=9/target=7/gap=2/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=10/target=7/gap=3/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=9/target=7/gap=2/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=8/target=6/gap=2/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=10/target=8/gap=2/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=7/target=5/gap=2/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_24\week18_ablation_train_24_seed_2.pt
24,3,24,8,12,25,32,0.01,500,226,53,0.06302363658323884,0.05887692887336016,0.06302363658323884,0.05956553046902021,216,201,15,53,51,2,4,67,62,5,0.4166666666666667,7,0,5,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=9/target=8/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=7/target=7/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=9/target=8/gap=1/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=6/target=5/gap=1/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_24\week18_ablation_train_24_seed_3.pt
24,4,24,8,12,25,32,0.01,500,2,54,3.406916528940201,1.4776783216123779,3.406916528940201,6.931856730331977,213,201,12,54,51,3,5,69,62,7,0.5833333333333334,5,1,6,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=9/target=8/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=9/target=7/gap=2/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=5/target=6/gap=-1/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=10/target=8/gap=2/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=6/target=5/gap=1/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_24\week18_ablation_train_24_seed_4.pt
36,0,36,8,12,25,32,0.01,500,303,51,0.08328192215412855,0.047228304772741266,0.08328192215412855,0.13574754679575562,304,285,19,51,51,0,6,66,62,4,0.3333333333333333,8,0,4,True,week18_crown_m24_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m26_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m28_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_crown_m30_alternating:family=crown/gnn=2/target=2/gap=0/valid=True; week18_er_n120_p12_s3:family=erdos_renyi/gnn=8/target=8/gap=0/valid=True; week18_sbm_three_blocks_120_weak_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_120_weak_s1:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_three_blocks_90_strong_s0:family=stochastic_block_model/gnn=8/target=7/gap=1/valid=True; week18_sbm_two_blocks_60_moderate_s0:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_60_moderate_s1:family=stochastic_block_model/gnn=6/target=6/gap=0/valid=True; week18_sbm_two_blocks_80_strong_s0:family=stochastic_block_model/gnn=9/target=8/gap=1/valid=True; week18_ws_n60_k8_p50_s0:family=watts_strogatz/gnn=5/target=5/gap=0/valid=True,C:\Users\riyat\Documents\Thesis Implementations\results\models\gnn_node_scorer\week18_training_size_ablation_gnn_runs\train_36\week18_ablation_train_36_seed_0.pt
