graph_id,split,label_source,num_nodes,num_color_classes,selected_num_colors,target_coloring_valid,score_order_compatible,greedy_num_colors,greedy_coloring_valid,source_pt_path
week17_gap_cycle_square_c41,test,reconstructed_week17_exact_formula,41,4,4,True,True,4,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c41.pt
week17_gap_join_c41_join_2,test,reconstructed_week17_exact_formula,82,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c41_join_2.pt
week17_gap_join_c41_join_3,test,reconstructed_week17_exact_formula,123,12,12,True,True,12,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c41_join_3.pt
week17_gap_join_c41_join_4,test,reconstructed_week17_exact_formula,164,16,16,True,True,16,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c41_join_4.pt
week17_gap_join_c41_join_5,test,reconstructed_week17_exact_formula,205,20,20,True,True,20,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c41_join_5.pt
week17_gap_cycle_square_c20,train,reconstructed_week17_exact_formula,20,4,4,True,True,4,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c20.pt
week17_gap_cycle_square_c26,train,reconstructed_week17_exact_formula,26,4,4,True,True,4,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c26.pt
week17_gap_cycle_square_c29,train,reconstructed_week17_exact_formula,29,4,4,True,True,4,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c29.pt
week17_gap_cycle_square_c35,train,reconstructed_week17_exact_formula,35,4,4,True,True,4,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_cycle_square_c35.pt
week17_gap_join_c20_join_2,train,reconstructed_week17_exact_formula,40,8,8,True,True,8,True,data\processed\initial_graph_coloring_dataset\pyg_data_week17_heuristic_gap_symmetry_breaking\week17_gap_join_c20_join_2.pt
